種牡馬名,父_産駒数,父_勝率,父_連対率,父_複勝率,父_芝勝率,父_ダート勝率,父_短距離勝率,父_中距離勝率,父_長距離勝率,父_良馬場勝率,父_重馬場勝率,父_平均着順,種別,母父_産駒数,母父_勝率,母父_連対率,母父_複勝率,母父_芝勝率,母父_ダート勝率,母父_短距離勝率,母父_中距離勝率,母父_長距離勝率,母父_良馬場勝率,母父_重馬場勝率,母父_平均着順
コンクェストハードキャンディ,,,,,,,,,,,,,母父,5.0,0.0,0.0,0.2,,0.0,0.0,,,0.0,0.0,5.0
コンクエストハーラネイト,,,,,,,,,,,,,母父,31.0,0.06451612903225806,0.12903225806451613,0.1935483870967742,0.08695652173913043,0.0,0.0,0.043478260869565216,0.5,0.07407407407407407,0.0,8.580645161290322
コンケイヴ,,,,,,,,,,,,,母父,31.0,0.0,0.0967741935483871,0.1935483870967742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.806451612903226
コンコルディア,,,,,,,,,,,,,母父,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,12.090909090909092
コンゴウビジン,,,,,,,,,,,,,母父,39.0,0.02564102564102564,0.05128205128205128,0.1282051282051282,0.037037037037037035,0.0,0.0,0.0,0.3333333333333333,0.034482758620689655,0.0,8.179487179487179
コンゴウプリンセス,,,,,,,,,,,,,母父,42.0,0.047619047619047616,0.07142857142857142,0.11904761904761904,0.0,0.1,0.0,0.06896551724137931,0.0,0.06666666666666667,0.0,6.904761904761905
コンゴウマドンナ,,,,,,,,,,,,,母父,5.0,0.0,0.0,0.2,0.0,0.0,0.0,,,0.0,,9.0
コンサヴァトワー,,,,,,,,,,,,,母父,14.0,0.2857142857142857,0.42857142857142855,0.6428571428571429,0.2857142857142857,,,0.2857142857142857,,0.2,0.0,4.428571428571429
コンサートクィーン,,,,,,,,,,,,,母父,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,14.444444444444445
コンサートレディ,,,,,,,,,,,,,母父,10.0,0.0,0.0,0.1,0.0,0.0,0.0,,,0.0,,10.4
コンサーンナッカ,,,,,,,,,,,,,母父,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6
コンシダレイト,,,,,,,,,,,,,母父,6.0,0.16666666666666666,0.3333333333333333,0.5,0.0,0.2,,0.2,0.0,0.3333333333333333,,7.0
コンダクトレス,,,,,,,,,,,,,母父,15.0,0.13333333333333333,0.26666666666666666,0.26666666666666666,0.0,0.18181818181818182,,0.15384615384615385,0.0,0.16666666666666666,0.0,6.666666666666667
コンテスティッド,,,,,,,,,,,,,母父,86.0,0.13953488372093023,0.2558139534883721,0.3372093023255814,0.1506849315068493,0.07692307692307693,0.14285714285714285,0.14102564102564102,0.0,0.12162162162162163,0.3333333333333333,5.77906976744186
コンテッサトゥーレ,,,,,,,,,,,,,母父,41.0,0.07317073170731707,0.1951219512195122,0.2682926829268293,0.06896551724137931,0.08333333333333333,0.07692307692307693,0.0,0.25,0.10714285714285714,0.0,6.780487804878049
コントローリング,,,,,,,,,,,,,母父,24.0,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.25
コンドコマンド,,,,,,,,,,,,,母父,46.0,0.10869565217391304,0.2391304347826087,0.2608695652173913,0.09090909090909091,0.15384615384615385,0.0,0.11627906976744186,0.0,0.15625,0.0,7.434782608695652
コンドルウイング,,,,,,,,,,,,,母父,44.0,0.022727272727272728,0.11363636363636363,0.13636363636363635,0.0,0.037037037037037035,0.04,0.0,0.0,0.034482758620689655,0.0,7.568181818181818
コンドルショット,,,,,,,,,,,,,母父,11.0,0.18181818181818182,0.18181818181818182,0.2727272727272727,0.0,0.2222222222222222,0.18181818181818182,,,0.0,0.5,8.272727272727273
コンパクトモデル,,,,,,,,,,,,,母父,13.0,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.0,0.1111111111111111,0.0,0.14285714285714285,,0.16666666666666666,0.0,8.461538461538462
コンフィデント,,,,,,,,,,,,,母父,10.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,,0.0,0.0,7.8
コンフェッシオン,,,,,,,,,,,,,母父,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,10.625
コンフォータブル,,,,,,,,,,,,,母父,64.0,0.046875,0.125,0.203125,0.0,0.058823529411764705,0.0625,0.0,0.0,0.07692307692307693,0.0,7.640625
コンプリカーター,,,,,,,,,,,,,母父,50.0,0.12,0.3,0.38,,0.12,0.0,0.2,0.0,0.08108108108108109,0.4,5.48
コンプリートベスト,,,,,,,,,,,,,母父,6.0,0.0,0.0,0.16666666666666666,,0.0,,0.0,,0.0,,5.833333333333333
コンペティションオブアイデアズ,,,,,,,,,,,,,母父,10.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,,9.6
コンペリングリーズン,,,,,,,,,,,,,母父,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.571428571428571
コンポステラ,,,,,,,,,,,,,母父,19.0,0.05263157894736842,0.05263157894736842,0.10526315789473684,0.0,0.0625,0.0,0.0625,0.0,0.0,0.0,10.0
コンヴィクションII,,,,,,,,,,,,,母父,27.0,0.18518518518518517,0.25925925925925924,0.3333333333333333,0.18518518518518517,,,0.0625,0.36363636363636365,0.1111111111111111,0.0,4.888888888888889
