父名,父_産駒数,父_勝率,父_連対率,父_複勝率,父_芝勝率,父_ダート勝率,父_短距離勝率,父_中距離勝率,父_長距離勝率,父_良馬場勝率,父_重馬場勝率,父_平均着順
ネオヴァンドーム,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9.0
ネロ,192,0.06770833333333333,0.16666666666666666,0.22916666666666666,0.08888888888888889,0.049019607843137254,0.058394160583941604,0.02564102564102564,0.25,0.0703125,0.06451612903225806,8.109375
ネヴァブション,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.142857142857142
ノボジャック,178,0.08426966292134831,0.15168539325842698,0.2303370786516854,0.0,0.09036144578313253,0.09523809523809523,0.034482758620689655,0.0,0.08333333333333333,0.09090909090909091,8.404494382022472
ノボトゥルー,7,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,11.571428571428571
ノヴェリスト,2099,0.06098141972367794,0.12529776083849453,0.1977131967603621,0.07058823529411765,0.04330175913396482,0.04788732394366197,0.06588447653429604,0.07473309608540925,0.06841741534208708,0.026515151515151516,8.06193425440686
ノーザンリバー,44,0.06818181818181818,0.06818181818181818,0.11363636363636363,0.0,0.07894736842105263,0.07317073170731707,0.0,,0.08,0.09090909090909091,9.0
ノーブルミッション,97,0.020618556701030927,0.041237113402061855,0.05154639175257732,0.015625,0.030303030303030304,0.0,0.018518518518518517,0.1111111111111111,0.025974025974025976,0.0,9.24742268041237
ハイアーゲーム,42,0.047619047619047616,0.07142857142857142,0.09523809523809523,0.0,0.058823529411764705,0.05555555555555555,0.0,0.14285714285714285,0.047619047619047616,0.14285714285714285,9.785714285714286
ハギノハイブリッド,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8125
ハクサンムーン,177,0.062146892655367235,0.12994350282485875,0.1864406779661017,0.07692307692307693,0.05357142857142857,0.08148148148148149,0.0,,0.06666666666666667,0.0,8.146892655367232
ハタノヴァンクール,39,0.0,0.05128205128205128,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.025641025641026
ハットトリック,27,0.18518518518518517,0.3333333333333333,0.3333333333333333,0.19230769230769232,0.0,0.0,0.20833333333333334,,0.23809523809523808,,5.777777777777778
ハーツクライ,6817,0.08918879272407217,0.17427020683585154,0.26023177350740795,0.08836734693877552,0.0912884715701617,0.07455731593662628,0.09134725728712417,0.09372746935832732,0.08936698386429458,0.08395989974937343,6.9433768519876775
ハービンジャー,4878,0.07072570725707257,0.14350143501435014,0.22263222632226323,0.07517870347547449,0.048721071863580996,0.052554744525547446,0.0728476821192053,0.07692307692307693,0.0701953014435324,0.0697211155378486,7.257687576875769
バゴ,1155,0.05454545454545454,0.11341991341991342,0.18268398268398267,0.06157965194109773,0.041666666666666664,0.04825737265415549,0.0486322188449848,0.10483870967741936,0.0535077288941736,0.06153846153846154,8.287445887445887
バトルプラン,798,0.05263157894736842,0.10776942355889724,0.16666666666666666,0.049429657794676805,0.05420560747663551,0.05755395683453238,0.04437869822485207,0.06976744186046512,0.04770992366412214,0.06060606060606061,8.417293233082706
バロズハート,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.25
バンデ,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.923076923076923
バンドワゴン,61,0.09836065573770492,0.22950819672131148,0.29508196721311475,0.13333333333333333,0.08695652173913043,0.16666666666666666,0.08888888888888889,0.0,0.025,0.16666666666666666,6.622950819672131
バンブーエール,129,0.05426356589147287,0.10852713178294573,0.17054263565891473,0.0,0.059322033898305086,0.058823529411764705,0.05714285714285714,0.0,0.041666666666666664,0.05,8.689922480620154
バーディバーディ,53,0.05660377358490566,0.09433962264150944,0.20754716981132076,,0.05660377358490566,0.0,0.08333333333333333,0.0,0.034482758620689655,0.14285714285714285,6.245283018867925
パイロ,2621,0.08088515833651277,0.15681037771842807,0.2384586035864174,0.033962264150943396,0.08616298811544991,0.07480916030534351,0.08978583196046129,0.05154639175257732,0.07616707616707617,0.09090909090909091,7.465089660434948
パドトロワ,392,0.04336734693877551,0.09438775510204081,0.13520408163265307,0.02158273381294964,0.05533596837944664,0.054313099041533544,0.0,0.0,0.044715447154471545,0.04918032786885246,9.653061224489797
パレスマリス,47,0.23404255319148937,0.3617021276595745,0.44680851063829785,0.3,0.18518518518518517,0.1875,0.25806451612903225,,0.25,0.16666666666666666,5.48936170212766
パーソナルラッシュ,15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,9.666666666666666
ヒルノダムール,79,0.06329113924050633,0.08860759493670886,0.12658227848101267,0.058823529411764705,0.07142857142857142,0.1111111111111111,0.05263157894736842,0.0,0.05172413793103448,0.125,9.20253164556962
ビッグアーサー,1416,0.067090395480226,0.14124293785310735,0.2132768361581921,0.08433734939759036,0.042662116040955635,0.07711864406779662,0.014018691588785047,0.045454545454545456,0.06488156539649846,0.06666666666666667,7.728813559322034
ビーチパトロール,617,0.03727714748784441,0.07617504051863858,0.1280388978930308,0.04481792717086835,0.026923076923076925,0.035897435897435895,0.03888888888888889,0.03225806451612903,0.03669724770642202,0.047058823529411764,8.714748784440843
ビービーガルダン,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,12.142857142857142
ファインニードル,559,0.09123434704830054,0.15026833631484796,0.21645796064400716,0.10324483775811209,0.07272727272727272,0.09579439252336448,0.07751937984496124,0.0,0.09273182957393483,0.08450704225352113,7.896243291592129
ファスリエフ,111,0.02702702702702703,0.0990990990990991,0.13513513513513514,0.09523809523809523,0.011111111111111112,0.014084507042253521,0.0,0.1,0.028169014084507043,0.0,9.135135135135135
ファルブラヴ,65,0.03076923076923077,0.1076923076923077,0.15384615384615385,0.047619047619047616,0.0,0.04,0.0,0.0,0.041666666666666664,0.0,9.476923076923077
ファーガソン,26,0.038461538461538464,0.15384615384615385,0.23076923076923078,0.047619047619047616,0.0,0.0,0.0,0.05,0.05,0.0,6.230769230769231
フィエールマン,87,0.05747126436781609,0.21839080459770116,0.27586206896551724,0.07042253521126761,0.0,0.0,0.07246376811594203,,0.06493506493506493,0.0,6.804597701149425
フィガロ,46,0.06521739130434782,0.21739130434782608,0.2608695652173913,0.038461538461538464,0.1,0.07317073170731707,0.0,,0.06666666666666667,0.0,8.652173913043478
フェノーメノ,1031,0.04364694471387003,0.10863239573229874,0.1629485935984481,0.03867403314917127,0.04918032786885246,0.043010752688172046,0.04634581105169341,0.03664921465968586,0.04411764705882353,0.013422818791946308,8.496605237633366
フォーウィールドライブ,107,0.018691588785046728,0.102803738317757,0.22429906542056074,0.018867924528301886,0.018518518518518517,0.025,0.0,,0.011494252873563218,0.0,6.794392523364486
フォーティナイナーズサン,33,0.030303030303030304,0.030303030303030304,0.06060606060606061,0.0,0.045454545454545456,0.041666666666666664,0.0,,0.05555555555555555,0.0,9.93939393939394
フサイチセブン,198,0.06060606060606061,0.13131313131313133,0.20202020202020202,0.0,0.06741573033707865,0.041666666666666664,0.0945945945945946,0.0,0.06611570247933884,0.025,7.717171717171717
フサイチリシャール,21,0.047619047619047616,0.19047619047619047,0.2857142857142857,0.0,0.05555555555555555,0.05,,0.0,0.0625,0.0,6.333333333333333
フジキセキ,18,0.1111111111111111,0.1111111111111111,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.4,0.14285714285714285,0.0,9.11111111111111
フリオーソ,1084,0.05166051660516605,0.09778597785977859,0.15129151291512916,0.01098901098901099,0.0553877139979859,0.04477611940298507,0.0528169014084507,0.07017543859649122,0.05417956656346749,0.0380952380952381,8.075645756457565
フレンチデピュティ,288,0.052083333333333336,0.1111111111111111,0.14930555555555555,0.0625,0.046875,0.050314465408805034,0.06451612903225806,0.027777777777777776,0.05232558139534884,0.06,8.21875
ブライアンズタイム,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.928571428571429
ブラックタイド,3280,0.05914634146341463,0.12560975609756098,0.19573170731707318,0.0511770726714432,0.07088989441930618,0.042951541850220265,0.06876332622601279,0.05241935483870968,0.05469097376611828,0.06741573033707865,7.866158536585366
ブラックタキシード,55,0.01818181818181818,0.07272727272727272,0.10909090909090909,0.0,0.038461538461538464,0.0,0.047619047619047616,0.0,0.02631578947368421,0.0,8.6
ブラックホーク,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,13.0
ブリックスアンドモルタル,674,0.09198813056379822,0.1795252225519288,0.2626112759643917,0.1,0.07065217391304347,0.08125,0.09480812641083522,0.09859154929577464,0.08771929824561403,0.07894736842105263,7.1083086053412465
ブリーズフレイバー,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.571428571428571
ブルドッグボス,18,0.0,0.1111111111111111,0.2222222222222222,0.0,0.0,0.0,0.0,,0.0,0.0,8.555555555555555
ブレイクランアウト,83,0.04819277108433735,0.07228915662650602,0.0963855421686747,0.06,0.030303030303030304,0.0,0.06382978723404255,0.041666666666666664,0.07272727272727272,0.0,8.156626506024097
プリサイスエンド,849,0.045936395759717315,0.10247349823321555,0.1707891637220259,0.0,0.052702702702702706,0.045889101338432124,0.048109965635738834,0.02857142857142857,0.03984819734345351,0.05,7.94228504122497
ヘニーハウンド,99,0.10101010101010101,0.1414141414141414,0.2222222222222222,0.0,0.10989010989010989,0.09375,0.11428571428571428,,0.12307692307692308,0.05555555555555555,7.313131313131313
