race_id,馬名,着順_num,予測スコア,予測順位,単勝オッズ,人気,勝ち確率,単勝期待値
202504040409,ベストシーン,2.0,0.15059190810098105,1.0,4.8,2.0,0.15059190810098105,-0.277158841115291
202504040409,ジャズ,1.0,0.13893991678398682,2.0,6.3,4.0,0.13893991678398682,-0.1246785242608831
202504040409,マリーヌ,7.0,0.09666145771475333,3.0,22.1,10.0,0.09666145771475333,1.136218215496049
202504040409,クイーンズワーフ,12.0,0.07960973807939416,4.0,18.3,7.0,0.07960973807939416,0.45685820685291323
202504040409,ダノンブランニュー,4.0,0.07244362334328373,5.0,12.0,5.0,0.07244362334328373,-0.13067651988059525
202504040409,カウンティフェア,10.0,0.03171690645563571,6.0,13.0,6.0,0.03171690645563571,-0.5876802160767357
202504040409,ウインファヴォリ,14.0,0.011729804186713004,7.0,29.6,12.0,0.011729804186713004,-0.6527977960732951
202504040409,グレゴリオ,3.0,0.011081010749795759,8.0,3.9,1.0,0.011081010749795759,-0.9567840580757966
202504040409,パルメリータ,13.0,0.01025329178855268,9.0,42.6,13.0,0.01025329178855268,-0.5632097698076559
202504040409,ヤコブセン,8.0,0.007058680673018072,10.0,19.6,9.0,0.007058680673018072,-0.8616498588088458
202504040409,ブドワールドール,9.0,0.004855380342779405,11.0,22.1,11.0,0.004855380342779405,-0.8926960944245752
202504040409,アンダーザライト,5.0,0.003277600977742221,12.0,6.1,3.0,0.003277600977742221,-0.9800066340357725
202504040409,オベイユアマスター,6.0,0.00017740148763162672,13.0,18.7,8.0,0.00017740148763162672,-0.9966825921812886
202504040409,ウインオーブ,11.0,1.2756329437762196e-06,14.0,224.0,14.0,1.2756329437762196e-06,-0.9997142582205941
202504040410,フルレゾン,8.0,0.5896072770363443,1.0,3.8,1.0,0.5896072770363443,1.240507652738108
202504040410,パッションリッチ,2.0,0.18373896400123252,2.0,5.0,3.0,0.18373896400123252,-0.08130517999383735
202504040410,マイネルオーシャン,1.0,0.12245720773874268,3.0,10.0,6.0,0.12245720773874268,0.22457207738742668
202504040410,バードウォッチャー,7.0,0.08177435908676121,4.0,25.0,8.0,0.08177435908676121,1.0443589771690305
202504040410,カリーニョ,9.0,0.07278767138137213,5.0,4.3,2.0,0.07278767138137213,-0.6870130130600999
202504040410,ウインアクトゥール,3.0,0.0666946465462998,6.0,7.6,4.0,0.0666946465462998,-0.49312068624812155
202504040410,ジェモロジー,14.0,0.060551120467193235,7.0,66.1,13.0,0.060551120467193235,3.0024290628814727
202504040410,アルファヒディ,16.0,0.037784966393997366,8.0,43.0,11.0,0.037784966393997366,0.6247535549418868
202504040410,ドゥレイクパセージ,15.0,0.029688230022623684,9.0,38.5,9.0,0.029688230022623684,0.14299685587101174
