券種,レース条件,馬の条件,オッズ,人気,点数,的中,回収率,最悪年,最良年,100%超の年数
単勝,下級クラス1-2,MF複勝1位,5-10倍,3番人気以内,876,116,75.2,65.1,101.7,1
複勝,下級クラス1-2,MF複勝1位,5-10倍,3番人気以内,876,365,80.0,69.4,96.9,0
単勝,下級クラス1-2,MF複勝1位,10-20倍,人気不問,268,18,85.3,21.7,185.3,2
複勝,下級クラス1-2,MF複勝1位,10-20倍,人気不問,268,80,92.5,64.2,117.8,1
単勝,下級クラス1-2,MF複勝1位,10-20倍,4番人気以下,264,18,86.6,22.5,185.3,2
複勝,下級クラス1-2,MF複勝1位,10-20倍,4番人気以下,264,79,93.1,65.3,117.8,1
単勝,下級クラス1-2,MF複勝1位,10-20倍,6番人気以下,159,10,82.9,0.0,211.0,2
複勝,下級クラス1-2,MF複勝1位,10-20倍,6番人気以下,159,47,98.2,66.2,119.4,3
単勝,下級クラス1-2,MF複勝1位,〜10倍,人気不問,10397,3062,78.6,76.6,80.8,0
複勝,下級クラス1-2,MF複勝1位,〜10倍,人気不問,10397,6419,83.9,82.7,85.5,0
単勝,下級クラス1-2,MF複勝1位,〜10倍,4番人気以下,672,68,71.0,63.1,76.3,0
複勝,下級クラス1-2,MF複勝1位,〜10倍,4番人気以下,672,228,73.0,60.9,83.1,0
単勝,下級クラス1-2,MF複勝1位,〜10倍,3番人気以内,9725,2994,79.1,76.8,81.4,0
複勝,下級クラス1-2,MF複勝1位,〜10倍,3番人気以内,9725,6191,84.6,83.1,86.3,0
単勝,下級クラス1-2,MF複勝1位,〜20倍,人気不問,10665,3080,78.7,76.6,82.3,0
複勝,下級クラス1-2,MF複勝1位,〜20倍,人気不問,10665,6499,84.1,83.0,85.8,0
単勝,下級クラス1-2,MF複勝1位,〜20倍,4番人気以下,936,86,75.4,61.2,104.3,1
複勝,下級クラス1-2,MF複勝1位,〜20倍,4番人気以下,936,307,78.7,62.2,92.6,0
単勝,下級クラス1-2,MF複勝1位,〜20倍,6番人気以下,203,17,94.8,0.0,210.5,2
複勝,下級クラス1-2,MF複勝1位,〜20倍,6番人気以下,203,64,98.3,76.1,127.6,3
単勝,下級クラス1-2,MF複勝1位,〜20倍,3番人気以内,9729,2994,79.0,76.8,81.4,0
複勝,下級クラス1-2,MF複勝1位,〜20倍,3番人気以内,9729,6192,84.6,83.1,86.3,0
単勝,下級クラス1-2,MF複勝2位以内,〜5倍,人気不問,14417,4320,80.9,78.6,82.9,0
複勝,下級クラス1-2,MF複勝2位以内,〜5倍,人気不問,14417,9170,85.5,84.3,86.5,0
単勝,下級クラス1-2,MF複勝2位以内,〜5倍,3番人気以内,14379,4311,80.9,78.2,82.6,0
複勝,下級クラス1-2,MF複勝2位以内,〜5倍,3番人気以内,14379,9144,85.4,84.3,86.4,0
単勝,下級クラス1-2,MF複勝2位以内,5-10倍,人気不問,5283,671,80.7,72.1,84.1,0
複勝,下級クラス1-2,MF複勝2位以内,5-10倍,人気不問,5283,2125,78.7,76.2,82.4,0
単勝,下級クラス1-2,MF複勝2位以内,5-10倍,4番人気以下,2057,218,76.7,69.7,83.1,0
複勝,下級クラス1-2,MF複勝2位以内,5-10倍,4番人気以下,2057,740,76.5,72.6,79.4,0
単勝,下級クラス1-2,MF複勝2位以内,5-10倍,3番人気以内,3226,453,83.3,69.9,89.5,0
複勝,下級クラス1-2,MF複勝2位以内,5-10倍,3番人気以内,3226,1385,80.1,76.4,87.2,0
単勝,下級クラス1-2,MF複勝2位以内,10-20倍,人気不問,1366,89,85.4,55.7,121.5,1
複勝,下級クラス1-2,MF複勝2位以内,10-20倍,人気不問,1366,371,82.3,78.1,85.2,0
単勝,下級クラス1-2,MF複勝2位以内,10-20倍,4番人気以下,1280,81,83.2,54.1,122.0,1
複勝,下級クラス1-2,MF複勝2位以内,10-20倍,4番人気以下,1280,331,79.6,75.7,83.9,0
単勝,下級クラス1-2,MF複勝2位以内,10-20倍,6番人気以下,625,41,92.3,64.9,111.6,3
複勝,下級クラス1-2,MF複勝2位以内,10-20倍,6番人気以下,625,157,84.9,77.8,93.8,0
単勝,下級クラス1-2,MF複勝2位以内,20-50倍,人気不問,382,8,58.0,0.0,96.2,0
複勝,下級クラス1-2,MF複勝2位以内,20-50倍,人気不問,382,56,71.7,54.2,98.9,0
単勝,下級クラス1-2,MF複勝2位以内,20-50倍,4番人気以下,380,8,58.3,0.0,96.2,0
複勝,下級クラス1-2,MF複勝2位以内,20-50倍,4番人気以下,380,54,71.3,51.6,98.9,0
単勝,下級クラス1-2,MF複勝2位以内,20-50倍,6番人気以下,346,7,58.3,0.0,108.3,1
複勝,下級クラス1-2,MF複勝2位以内,20-50倍,6番人気以下,346,49,72.3,50.5,104.4,1
単勝,下級クラス1-2,MF複勝2位以内,〜10倍,人気不問,19700,4991,80.9,78.3,83.0,0
複勝,下級クラス1-2,MF複勝2位以内,〜10倍,人気不問,19700,11295,83.7,82.2,85.3,0
単勝,下級クラス1-2,MF複勝2位以内,〜10倍,4番人気以下,2095,227,77.3,70.7,81.3,0
複勝,下級クラス1-2,MF複勝2位以内,〜10倍,4番人気以下,2095,766,77.1,73.3,80.5,0
単勝,下級クラス1-2,MF複勝2位以内,〜10倍,3番人気以内,17605,4764,81.3,78.7,83.2,0
複勝,下級クラス1-2,MF複勝2位以内,〜10倍,3番人気以内,17605,10529,84.4,82.8,86.4,0
単勝,下級クラス1-2,MF複勝2位以内,〜20倍,人気不問,21066,5080,81.2,79.5,83.2,0
複勝,下級クラス1-2,MF複勝2位以内,〜20倍,人気不問,21066,11666,83.6,82.4,84.9,0
単勝,下級クラス1-2,MF複勝2位以内,〜20倍,4番人気以下,3375,308,79.5,71.2,92.9,0
複勝,下級クラス1-2,MF複勝2位以内,〜20倍,4番人気以下,3375,1097,78.0,75.0,80.3,0
単勝,下級クラス1-2,MF複勝2位以内,〜20倍,6番人気以下,731,55,95.1,61.0,117.6,3
複勝,下級クラス1-2,MF複勝2位以内,〜20倍,6番人気以下,731,197,86.5,79.2,90.5,0
単勝,下級クラス1-2,MF複勝2位以内,〜20倍,3番人気以内,17691,4772,81.5,78.8,84.3,0
複勝,下級クラス1-2,MF複勝2位以内,〜20倍,3番人気以内,17691,10569,84.6,82.9,86.5,0
単勝,下級クラス1-2,MF複勝3位以内,〜5倍,人気不問,17488,5016,80.6,78.3,82.3,0
複勝,下級クラス1-2,MF複勝3位以内,〜5倍,人気不問,17488,10925,85.4,84.4,86.7,0
単勝,下級クラス1-2,MF複勝3位以内,〜5倍,3番人気以内,17426,4997,80.4,78.0,82.4,0
複勝,下級クラス1-2,MF複勝3位以内,〜5倍,3番人気以内,17426,10882,85.4,84.3,86.7,0
単勝,下級クラス1-2,MF複勝3位以内,5-10倍,人気不問,9669,1172,79.0,72.7,83.3,0
複勝,下級クラス1-2,MF複勝3位以内,5-10倍,人気不問,9669,3815,78.3,77.2,79.3,0
単勝,下級クラス1-2,MF複勝3位以内,5-10倍,4番人気以下,4009,400,73.7,65.4,78.9,0
複勝,下級クラス1-2,MF複勝3位以内,5-10倍,4番人気以下,4009,1426,75.5,72.9,79.4,0
単勝,下級クラス1-2,MF複勝3位以内,5-10倍,6番人気以下,189,20,89.7,45.7,163.1,1
複勝,下級クラス1-2,MF複勝3位以内,5-10倍,6番人気以下,189,65,87.9,58.6,108.5,1
単勝,下級クラス1-2,MF複勝3位以内,5-10倍,3番人気以内,5660,772,82.7,68.5,89.7,0
複勝,下級クラス1-2,MF複勝3位以内,5-10倍,3番人気以内,5660,2389,80.3,75.6,82.9,0
単勝,下級クラス1-2,MF複勝3位以内,10-20倍,人気不問,3675,239,85.6,65.0,102.1,1
複勝,下級クラス1-2,MF複勝3位以内,10-20倍,人気不問,3675,991,81.4,78.0,84.4,0
単勝,下級クラス1-2,MF複勝3位以内,10-20倍,4番人気以下,3426,221,85.6,65.5,104.5,1
複勝,下級クラス1-2,MF複勝3位以内,10-20倍,4番人気以下,3426,898,80.0,76.5,84.0,0
単勝,下級クラス1-2,MF複勝3位以内,10-20倍,6番人気以下,1536,104,97.7,77.6,113.4,3
複勝,下級クラス1-2,MF複勝3位以内,10-20倍,6番人気以下,1536,361,80.9,73.4,89.8,0
単勝,下級クラス1-2,MF複勝3位以内,10-20倍,3番人気以内,249,18,85.3,55.9,146.9,1
複勝,下級クラス1-2,MF複勝3位以内,10-20倍,3番人気以内,249,93,100.4,87.9,115.3,2
単勝,下級クラス1-2,MF複勝3位以内,20-50倍,人気不問,1230,26,55.0,42.0,77.0,0
複勝,下級クラス1-2,MF複勝3位以内,20-50倍,人気不問,1230,184,70.5,55.5,80.3,0
単勝,下級クラス1-2,MF複勝3位以内,20-50倍,4番人気以下,1226,26,55.2,42.2,77.3,0
複勝,下級クラス1-2,MF複勝3位以内,20-50倍,4番人気以下,1226,182,70.5,55.8,80.6,0
単勝,下級クラス1-2,MF複勝3位以内,20-50倍,6番人気以下,1084,23,56.1,42.2,75.7,0
複勝,下級クラス1-2,MF複勝3位以内,20-50倍,6番人気以下,1084,157,72.1,56.8,84.2,0
単勝,下級クラス1-2,MF複勝3位以内,〜10倍,人気不問,27157,6188,80.0,77.5,82.2,0
複勝,下級クラス1-2,MF複勝3位以内,〜10倍,人気不問,27157,14740,82.9,81.8,84.1,0
単勝,下級クラス1-2,MF複勝3位以内,〜10倍,4番人気以下,4071,419,74.8,67.1,79.5,0
複勝,下級クラス1-2,MF複勝3位以内,〜10倍,4番人気以下,4071,1469,76.0,73.2,79.9,0
単勝,下級クラス1-2,MF複勝3位以内,〜10倍,6番人気以下,189,20,89.7,45.7,163.1,1
複勝,下級クラス1-2,MF複勝3位以内,〜10倍,6番人気以下,189,65,87.9,58.6,108.5,1
単勝,下級クラス1-2,MF複勝3位以内,〜10倍,3番人気以内,23086,5769,80.9,77.1,83.5,0
複勝,下級クラス1-2,MF複勝3位以内,〜10倍,3番人気以内,23086,13271,84.1,82.1,85.7,0
単勝,下級クラス1-2,MF複勝3位以内,〜20倍,人気不問,30832,6427,80.7,79.2,83.7,0
複勝,下級クラス1-2,MF複勝3位以内,〜20倍,人気不問,30832,15731,82.7,82.1,83.5,0
単勝,下級クラス1-2,MF複勝3位以内,〜20倍,4番人気以下,7497,640,79.7,70.5,90.9,0
複勝,下級クラス1-2,MF複勝3位以内,〜20倍,4番人気以下,7497,2367,77.8,75.6,81.8,0
単勝,下級クラス1-2,MF複勝3位以内,〜20倍,6番人気以下,1725,124,96.9,75.1,111.4,3
複勝,下級クラス1-2,MF複勝3位以内,〜20倍,6番人気以下,1725,426,81.7,75.8,90.4,0
単勝,下級クラス1-2,MF複勝3位以内,〜20倍,3番人気以内,23335,5787,81.0,77.0,83.3,0
複勝,下級クラス1-2,MF複勝3位以内,〜20倍,3番人気以内,23335,13364,84.3,82.2,85.7,0
単勝,下級クラス1-2,MF複勝5位以内,〜5倍,人気不問,20026,5594,81.0,79.9,82.1,0
複勝,下級クラス1-2,MF複勝5位以内,〜5倍,人気不問,20026,12300,85.3,84.3,86.2,0
単勝,下級クラス1-2,MF複勝5位以内,〜5倍,3番人気以内,19925,5570,80.8,79.7,81.9,0
複勝,下級クラス1-2,MF複勝5位以内,〜5倍,3番人気以内,19925,12234,85.2,84.3,86.0,0
単勝,下級クラス1-2,MF複勝5位以内,5-10倍,人気不問,16517,1930,78.4,75.5,82.0,0
複勝,下級クラス1-2,MF複勝5位以内,5-10倍,人気不問,16517,6415,79.4,77.8,81.0,0
単勝,下級クラス1-2,MF複勝5位以内,5-10倍,4番人気以下,8018,829,77.6,73.6,82.7,0
複勝,下級クラス1-2,MF複勝5位以内,5-10倍,4番人気以下,8018,2887,78.4,77.0,80.1,0
単勝,下級クラス1-2,MF複勝5位以内,5-10倍,6番人気以下,428,44,88.6,41.6,159.1,1
複勝,下級クラス1-2,MF複勝5位以内,5-10倍,6番人気以下,428,133,79.8,60.3,107.3,1
単勝,下級クラス1-2,MF複勝5位以内,5-10倍,3番人気以内,8499,1101,79.1,68.7,85.7,0
複勝,下級クラス1-2,MF複勝5位以内,5-10倍,3番人気以内,8499,3528,80.4,78.1,82.7,0
単勝,下級クラス1-2,MF複勝5位以内,10-20倍,人気不問,10443,656,84.1,72.3,104.1,1
複勝,下級クラス1-2,MF複勝5位以内,10-20倍,人気不問,10443,2669,78.9,75.2,84.5,0
単勝,下級クラス1-2,MF複勝5位以内,10-20倍,4番人気以下,9982,622,84.1,72.0,105.2,1
複勝,下級クラス1-2,MF複勝5位以内,10-20倍,4番人気以下,9982,2507,78.0,74.3,84.0,0
単勝,下級クラス1-2,MF複勝5位以内,10-20倍,6番人気以下,4641,274,86.1,73.1,109.6,1
複勝,下級クラス1-2,MF複勝5位以内,10-20倍,6番人気以下,4641,1030,76.9,69.9,84.6,0
単勝,下級クラス1-2,MF複勝5位以内,10-20倍,3番人気以内,461,34,84.9,56.5,135.2,1
複勝,下級クラス1-2,MF複勝5位以内,10-20倍,3番人気以内,461,162,99.6,91.6,115.2,2
単勝,下級クラス1-2,MF複勝5位以内,20-50倍,人気不問,5433,135,71.8,57.6,88.4,0
複勝,下級クラス1-2,MF複勝5位以内,20-50倍,人気不問,5433,778,71.9,68.4,78.6,0
単勝,下級クラス1-2,MF複勝5位以内,20-50倍,4番人気以下,5419,135,71.9,57.6,88.8,0
複勝,下級クラス1-2,MF複勝5位以内,20-50倍,4番人気以下,5419,774,71.9,68.4,78.6,0
単勝,下級クラス1-2,MF複勝5位以内,20-50倍,6番人気以下,4749,120,75.0,54.3,98.5,0
複勝,下級クラス1-2,MF複勝5位以内,20-50倍,6番人気以下,4749,652,73.2,67.2,82.3,0
単勝,下級クラス1-2,MF複勝5位以内,〜10倍,人気不問,36543,7524,79.8,78.0,81.7,0
複勝,下級クラス1-2,MF複勝5位以内,〜10倍,人気不問,36543,18715,82.7,81.9,83.3,0
単勝,下級クラス1-2,MF複勝5位以内,〜10倍,4番人気以下,8119,853,78.0,74.2,82.9,0
複勝,下級クラス1-2,MF複勝5位以内,〜10倍,4番人気以下,8119,2953,78.7,77.6,80.3,0
単勝,下級クラス1-2,MF複勝5位以内,〜10倍,6番人気以下,428,44,88.6,41.6,159.1,1
複勝,下級クラス1-2,MF複勝5位以内,〜10倍,6番人気以下,428,133,79.8,60.3,107.3,1
単勝,下級クラス1-2,MF複勝5位以内,〜10倍,3番人気以内,28424,6671,80.3,76.6,82.4,0
複勝,下級クラス1-2,MF複勝5位以内,〜10倍,3番人気以内,28424,15762,83.8,82.4,84.9,0
単勝,下級クラス1-2,MF複勝5位以内,〜20倍,人気不問,46986,8180,80.8,78.6,83.8,0
複勝,下級クラス1-2,MF複勝5位以内,〜20倍,人気不問,46986,21384,81.8,80.7,82.5,0
単勝,下級クラス1-2,MF複勝5位以内,〜20倍,4番人気以下,18101,1475,81.4,74.6,95.2,0
複勝,下級クラス1-2,MF複勝5位以内,〜20倍,4番人気以下,18101,5460,78.3,75.8,82.3,0
単勝,下級クラス1-2,MF複勝5位以内,〜20倍,6番人気以下,5069,318,86.3,70.2,107.8,1
複勝,下級クラス1-2,MF複勝5位以内,〜20倍,6番人気以下,5069,1163,77.1,70.4,86.4,0
単勝,下級クラス1-2,MF複勝5位以内,〜20倍,3番人気以内,28885,6705,80.4,76.6,83.2,0
複勝,下級クラス1-2,MF複勝5位以内,〜20倍,3番人気以内,28885,15924,84.1,82.6,85.1,0
単勝,道悪,MF複勝1位,〜5倍,人気不問,1432,449,78.2,74.6,84.6,0
複勝,道悪,MF複勝1位,〜5倍,人気不問,1432,882,82.0,79.4,84.0,0
単勝,道悪,MF複勝1位,〜5倍,3番人気以内,1427,447,77.8,75.0,83.6,0
複勝,道悪,MF複勝1位,〜5倍,3番人気以内,1427,878,81.8,79.0,83.6,0
単勝,道悪,MF複勝1位,5-10倍,人気不問,309,36,75.0,38.9,108.7,1
複勝,道悪,MF複勝1位,5-10倍,人気不問,309,117,77.7,71.0,89.2,0
単勝,道悪,MF複勝1位,5-10倍,3番人気以内,183,22,70.0,48.0,94.7,0
複勝,道悪,MF複勝1位,5-10倍,3番人気以内,183,80,86.0,78.0,111.7,1
単勝,道悪,MF複勝1位,〜10倍,人気不問,1741,485,77.6,70.9,83.3,0
複勝,道悪,MF複勝1位,〜10倍,人気不問,1741,999,81.2,78.5,82.5,0
単勝,道悪,MF複勝1位,〜10倍,3番人気以内,1610,469,76.9,75.2,78.8,0
複勝,道悪,MF複勝1位,〜10倍,3番人気以内,1610,958,82.2,79.9,84.4,0
単勝,道悪,MF複勝1位,〜20倍,人気不問,1793,490,78.7,69.0,84.0,0
複勝,道悪,MF複勝1位,〜20倍,人気不問,1793,1015,82.0,76.4,86.8,0
単勝,道悪,MF複勝1位,〜20倍,4番人気以下,183,21,94.6,0.0,168.4,3
複勝,道悪,MF複勝1位,〜20倍,4番人気以下,183,57,79.5,51.3,133.9,2
単勝,道悪,MF複勝1位,〜20倍,3番人気以内,1610,469,76.9,75.2,78.8,0
複勝,道悪,MF複勝1位,〜20倍,3番人気以内,1610,958,82.2,79.9,84.4,0
単勝,道悪,MF複勝2位以内,〜5倍,人気不問,2375,688,80.0,73.8,84.2,0
複勝,道悪,MF複勝2位以内,〜5倍,人気不問,2375,1436,83.2,79.7,85.2,0
単勝,道悪,MF複勝2位以内,〜5倍,3番人気以内,2369,686,79.8,73.8,83.6,0
複勝,道悪,MF複勝2位以内,〜5倍,3番人気以内,2369,1431,83.0,79.7,85.1,0
単勝,道悪,MF複勝2位以内,5-10倍,人気不問,964,127,83.9,60.9,120.5,1
複勝,道悪,MF複勝2位以内,5-10倍,人気不問,964,365,76.5,68.4,86.4,0
単勝,道悪,MF複勝2位以内,5-10倍,4番人気以下,393,44,83.2,34.0,137.1,1
複勝,道悪,MF複勝2位以内,5-10倍,4番人気以下,393,122,67.9,45.8,84.4,0
単勝,道悪,MF複勝2位以内,5-10倍,3番人気以内,571,83,84.5,64.2,104.4,1
複勝,道悪,MF複勝2位以内,5-10倍,3番人気以内,571,243,82.5,71.4,91.5,0
単勝,道悪,MF複勝2位以内,10-20倍,人気不問,223,12,66.1,0.0,139.4,1
複勝,道悪,MF複勝2位以内,10-20倍,人気不問,223,57,79.9,67.6,107.4,1
単勝,道悪,MF複勝2位以内,10-20倍,4番人気以下,212,11,61.2,0.0,139.4,1
複勝,道悪,MF複勝2位以内,10-20倍,4番人気以下,212,52,79.6,65.9,107.4,1
単勝,道悪,MF複勝2位以内,〜10倍,人気不問,3339,815,81.2,74.8,86.4,0
複勝,道悪,MF複勝2位以内,〜10倍,人気不問,3339,1801,81.2,78.0,83.0,0
単勝,道悪,MF複勝2位以内,〜10倍,4番人気以下,399,46,84.3,34.0,137.1,1
複勝,道悪,MF複勝2位以内,〜10倍,4番人気以下,399,127,69.0,45.8,84.4,0
単勝,道悪,MF複勝2位以内,〜10倍,3番人気以内,2940,769,80.7,76.9,84.2,0
複勝,道悪,MF複勝2位以内,〜10倍,3番人気以内,2940,1674,82.9,79.6,84.7,0
単勝,道悪,MF複勝2位以内,〜20倍,人気不問,3562,827,80.2,70.0,85.4,0
複勝,道悪,MF複勝2位以内,〜20倍,人気不問,3562,1858,81.2,77.4,84.2,0
単勝,道悪,MF複勝2位以内,〜20倍,4番人気以下,611,57,76.3,21.8,103.7,1
複勝,道悪,MF複勝2位以内,〜20倍,4番人気以下,611,179,72.7,55.5,83.4,0
単勝,道悪,MF複勝2位以内,〜20倍,3番人気以内,2951,770,81.0,78.4,83.7,0
複勝,道悪,MF複勝2位以内,〜20倍,3番人気以内,2951,1679,82.9,79.7,84.7,0
単勝,道悪,MF複勝3位以内,〜5倍,人気不問,2839,788,79.2,72.9,82.3,0
複勝,道悪,MF複勝3位以内,〜5倍,人気不問,2839,1685,83.0,80.1,85.3,0
単勝,道悪,MF複勝3位以内,〜5倍,3番人気以内,2830,785,79.0,72.9,82.6,0
複勝,道悪,MF複勝3位以内,〜5倍,3番人気以内,2830,1679,83.0,80.1,85.4,0
単勝,道悪,MF複勝3位以内,5-10倍,人気不問,1774,220,80.4,68.9,103.2,1
複勝,道悪,MF複勝3位以内,5-10倍,人気不問,1774,664,76.6,72.9,81.9,0
単勝,道悪,MF複勝3位以内,5-10倍,4番人気以下,758,78,76.1,52.5,114.5,1
複勝,道悪,MF複勝3位以内,5-10倍,4番人気以下,758,244,71.0,62.5,76.9,0
単勝,道悪,MF複勝3位以内,5-10倍,3番人気以内,1016,142,83.6,80.7,94.0,0
複勝,道悪,MF複勝3位以内,5-10倍,3番人気以内,1016,420,80.9,71.9,90.5,0
単勝,道悪,MF複勝3位以内,10-20倍,人気不問,612,33,70.2,0.0,96.9,0
複勝,道悪,MF複勝3位以内,10-20倍,人気不問,612,158,80.6,62.1,94.9,0
単勝,道悪,MF複勝3位以内,10-20倍,4番人気以下,583,31,68.6,0.0,98.2,0
複勝,道悪,MF複勝3位以内,10-20倍,4番人気以下,583,146,79.9,62.6,94.4,0
単勝,道悪,MF複勝3位以内,10-20倍,6番人気以下,308,16,69.0,0.0,121.9,1
複勝,道悪,MF複勝3位以内,10-20倍,6番人気以下,308,75,85.5,67.3,94.9,0
単勝,道悪,MF複勝3位以内,20-50倍,人気不問,164,9,138.6,82.6,195.5,4
複勝,道悪,MF複勝3位以内,20-50倍,人気不問,164,30,91.5,72.5,142.1,1
単勝,道悪,MF複勝3位以内,20-50倍,4番人気以下,164,9,138.6,82.6,195.5,4
複勝,道悪,MF複勝3位以内,20-50倍,4番人気以下,164,30,91.5,72.5,142.1,1
単勝,道悪,MF複勝3位以内,20-50倍,6番人気以下,150,9,151.5,85.3,226.8,4
複勝,道悪,MF複勝3位以内,20-50倍,6番人気以下,150,29,98.9,77.8,146.4,2
単勝,道悪,MF複勝3位以内,〜10倍,人気不問,4613,1008,79.7,75.6,84.0,0
複勝,道悪,MF複勝3位以内,〜10倍,人気不問,4613,2349,80.6,78.4,82.2,0
単勝,道悪,MF複勝3位以内,〜10倍,4番人気以下,767,81,77.0,55.2,114.5,1
複勝,道悪,MF複勝3位以内,〜10倍,4番人気以下,767,250,71.4,62.9,78.2,0
単勝,道悪,MF複勝3位以内,〜10倍,3番人気以内,3846,927,80.2,78.0,82.0,0
複勝,道悪,MF複勝3位以内,〜10倍,3番人気以内,3846,2099,82.4,79.6,84.4,0
単勝,道悪,MF複勝3位以内,〜20倍,人気不問,5225,1041,78.6,74.9,82.5,0
複勝,道悪,MF複勝3位以内,〜20倍,人気不問,5225,2507,80.6,78.7,83.5,0
単勝,道悪,MF複勝3位以内,〜20倍,4番人気以下,1350,112,73.4,67.6,84.4,0
複勝,道悪,MF複勝3位以内,〜20倍,4番人気以下,1350,396,75.1,67.8,80.7,0
単勝,道悪,MF複勝3位以内,〜20倍,6番人気以下,343,20,72.6,0.0,126.8,1
複勝,道悪,MF複勝3位以内,〜20倍,6番人気以下,343,86,85.6,63.3,93.6,0
単勝,道悪,MF複勝3位以内,〜20倍,3番人気以内,3875,929,80.4,77.2,81.9,0
複勝,道悪,MF複勝3位以内,〜20倍,3番人気以内,3875,2111,82.5,79.7,84.4,0
単勝,道悪,MF複勝5位以内,〜5倍,人気不問,3261,877,79.6,73.1,82.5,0
複勝,道悪,MF複勝5位以内,〜5倍,人気不問,3261,1904,83.2,80.5,84.8,0
単勝,道悪,MF複勝5位以内,〜5倍,3番人気以内,3249,874,79.5,73.5,82.0,0
複勝,道悪,MF複勝5位以内,〜5倍,3番人気以内,3249,1896,83.1,80.5,84.6,0
単勝,道悪,MF複勝5位以内,5-10倍,人気不問,3010,354,80.0,69.1,94.8,0
複勝,道悪,MF複勝5位以内,5-10倍,人気不問,3010,1129,80.0,74.0,86.8,0
単勝,道悪,MF複勝5位以内,5-10倍,4番人気以下,1496,162,82.9,52.0,105.2,1
複勝,道悪,MF複勝5位以内,5-10倍,4番人気以下,1496,517,78.3,72.0,83.9,0
単勝,道悪,MF複勝5位以内,5-10倍,3番人気以内,1514,192,77.1,69.0,85.8,0
複勝,道悪,MF複勝5位以内,5-10倍,3番人気以内,1514,612,81.8,73.7,89.9,0
単勝,道悪,MF複勝5位以内,10-20倍,人気不問,1746,113,86.8,70.6,101.0,1
複勝,道悪,MF複勝5位以内,10-20倍,人気不問,1746,441,82.8,80.2,84.6,0
単勝,道悪,MF複勝5位以内,10-20倍,4番人気以下,1680,110,87.8,73.9,101.3,1
複勝,道悪,MF複勝5位以内,10-20倍,4番人気以下,1680,421,82.9,80.2,84.8,0
単勝,道悪,MF複勝5位以内,10-20倍,6番人気以下,910,61,96.7,70.7,133.0,2
複勝,道悪,MF複勝5位以内,10-20倍,6番人気以下,910,217,85.0,73.8,97.7,0
単勝,道悪,MF複勝5位以内,20-50倍,人気不問,850,30,99.3,82.9,130.5,2
複勝,道悪,MF複勝5位以内,20-50倍,人気不問,850,118,67.4,41.2,82.7,0
単勝,道悪,MF複勝5位以内,20-50倍,4番人気以下,848,30,99.6,82.9,131.4,2
複勝,道悪,MF複勝5位以内,20-50倍,4番人気以下,848,117,67.3,41.2,82.7,0
単勝,道悪,MF複勝5位以内,20-50倍,6番人気以下,775,28,103.2,73.0,149.3,3
複勝,道悪,MF複勝5位以内,20-50倍,6番人気以下,775,103,67.1,37.0,82.2,0
単勝,道悪,MF複勝5位以内,〜10倍,人気不問,6271,1231,79.8,76.1,83.1,0
複勝,道悪,MF複勝5位以内,〜10倍,人気不問,6271,3033,81.7,79.3,83.5,0
単勝,道悪,MF複勝5位以内,〜10倍,4番人気以下,1508,165,83.2,53.4,104.1,1
複勝,道悪,MF複勝5位以内,〜10倍,4番人気以下,1508,525,78.6,72.2,83.8,0
単勝,道悪,MF複勝5位以内,〜10倍,3番人気以内,4763,1066,78.7,74.7,83.2,0
複勝,道悪,MF複勝5位以内,〜10倍,3番人気以内,4763,2508,82.7,81.1,84.7,0
単勝,道悪,MF複勝5位以内,〜20倍,人気不問,8017,1344,81.3,79.0,84.6,0
複勝,道悪,MF複勝5位以内,〜20倍,人気不問,8017,3474,81.9,80.2,83.8,0
単勝,道悪,MF複勝5位以内,〜20倍,4番人気以下,3188,275,85.6,75.0,96.0,0
複勝,道悪,MF複勝5位以内,〜20倍,4番人気以下,3188,946,80.9,78.8,83.2,0
単勝,道悪,MF複勝5位以内,〜20倍,6番人気以下,994,73,99.3,84.5,116.6,2
複勝,道悪,MF複勝5位以内,〜20倍,6番人気以下,994,244,85.0,74.2,101.9,1
単勝,道悪,MF複勝5位以内,〜20倍,3番人気以内,4829,1069,78.5,74.9,83.8,0
複勝,道悪,MF複勝5位以内,〜20倍,3番人気以内,4829,2528,82.7,80.4,85.1,0
単勝,良馬場,MF複勝1位,〜5倍,人気不問,8579,2803,80.9,78.2,82.7,0
複勝,良馬場,MF複勝1位,〜5倍,人気不問,8579,5611,85.6,83.8,86.9,0
単勝,良馬場,MF複勝1位,〜5倍,3番人気以内,8566,2802,81.0,78.1,82.9,0
複勝,良馬場,MF複勝1位,〜5倍,3番人気以内,8566,5603,85.6,83.8,86.9,0
単勝,良馬場,MF複勝1位,5-10倍,人気不問,1637,195,73.9,63.6,93.7,0
複勝,良馬場,MF複勝1位,5-10倍,人気不問,1637,637,80.3,71.1,91.9,0
単勝,良馬場,MF複勝1位,5-10倍,4番人気以下,675,68,71.5,63.5,79.5,0
複勝,良馬場,MF複勝1位,5-10倍,4番人気以下,675,246,80.5,66.9,94.4,0
単勝,良馬場,MF複勝1位,5-10倍,3番人気以内,962,127,75.5,58.2,106.5,1
複勝,良馬場,MF複勝1位,5-10倍,3番人気以内,962,391,80.1,67.1,103.2,1
単勝,良馬場,MF複勝1位,10-20倍,人気不問,309,21,86.2,36.9,181.0,2
複勝,良馬場,MF複勝1位,10-20倍,人気不問,309,81,80.4,63.6,104.7,1
