券種,レース条件,馬の条件,オッズ,人気,点数,的中,回収率,最悪年,最良年,100%超の年数
複勝,全体,MF複勝3位以内,〜20倍,3番人気以内,32275,18103,83.8,82.5,85.2,0
単勝,全体,MF複勝5位以内,〜5倍,人気不問,27360,7584,81.1,80.1,82.0,0
複勝,全体,MF複勝5位以内,〜5倍,人気不問,27360,16524,84.8,84.2,85.4,0
単勝,全体,MF複勝5位以内,〜5倍,3番人気以内,27236,7555,80.9,80.0,81.7,0
複勝,全体,MF複勝5位以内,〜5倍,3番人気以内,27236,16449,84.8,84.2,85.3,0
単勝,全体,MF複勝5位以内,5-10倍,人気不問,23785,2774,78.6,76.7,82.4,0
複勝,全体,MF複勝5位以内,5-10倍,人気不問,23785,9098,79.5,78.7,81.0,0
単勝,全体,MF複勝5位以内,5-10倍,4番人気以下,11502,1199,78.8,73.6,85.8,0
複勝,全体,MF複勝5位以内,5-10倍,4番人気以下,11502,4083,78.6,76.9,80.4,0
単勝,全体,MF複勝5位以内,5-10倍,6番人気以下,636,62,84.0,49.0,139.7,1
複勝,全体,MF複勝5位以内,5-10倍,6番人気以下,636,199,82.0,52.5,113.3,2
単勝,全体,MF複勝5位以内,5-10倍,3番人気以内,12283,1575,78.3,72.1,82.7,0
複勝,全体,MF複勝5位以内,5-10倍,3番人気以内,12283,5015,80.4,78.8,82.5,0
単勝,全体,MF複勝5位以内,10-20倍,人気不問,14793,900,81.8,71.0,93.8,0
複勝,全体,MF複勝5位以内,10-20倍,人気不問,14793,3710,78.6,75.7,83.5,0
単勝,全体,MF複勝5位以内,10-20倍,4番人気以下,14210,864,82.2,71.4,95.2,0
複勝,全体,MF複勝5位以内,10-20倍,4番人気以下,14210,3504,77.7,74.9,82.8,0
単勝,全体,MF複勝5位以内,10-20倍,6番人気以下,6999,408,85.0,77.2,95.3,0
複勝,全体,MF複勝5位以内,10-20倍,6番人気以下,6999,1552,78.0,71.9,82.2,0
単勝,全体,MF複勝5位以内,10-20倍,3番人気以内,583,36,71.1,54.4,121.5,1
複勝,全体,MF複勝5位以内,10-20倍,3番人気以内,583,206,99.8,91.5,109.3,3
単勝,全体,MF複勝5位以内,20-50倍,人気不問,7369,197,75.1,56.6,90.1,0
複勝,全体,MF複勝5位以内,20-50倍,人気不問,7369,1061,72.9,69.9,76.5,0
単勝,全体,MF複勝5位以内,20-50倍,4番人気以下,7355,197,75.2,56.7,90.4,0
複勝,全体,MF複勝5位以内,20-50倍,4番人気以下,7355,1057,73.0,70.0,76.6,0
単勝,全体,MF複勝5位以内,20-50倍,6番人気以下,6542,179,78.4,55.1,99.8,0
複勝,全体,MF複勝5位以内,20-50倍,6番人気以下,6542,894,73.2,67.1,76.5,0
単勝,全体,MF複勝5位以内,〜10倍,人気不問,51145,10358,79.9,79.2,82.2,0
複勝,全体,MF複勝5位以内,〜10倍,人気不問,51145,25622,82.4,82.0,82.7,0
単勝,全体,MF複勝5位以内,〜10倍,4番人気以下,11626,1228,79.2,74.2,85.8,0
複勝,全体,MF複勝5位以内,〜10倍,4番人気以下,11626,4158,78.8,77.1,80.4,0
単勝,全体,MF複勝5位以内,〜10倍,6番人気以下,636,62,84.0,49.0,139.7,1
複勝,全体,MF複勝5位以内,〜10倍,6番人気以下,636,199,82.0,52.5,113.3,2
単勝,全体,MF複勝5位以内,〜10倍,3番人気以内,39519,9130,80.1,77.6,82.0,0
複勝,全体,MF複勝5位以内,〜10倍,3番人気以内,39519,21464,83.4,82.5,83.8,0
単勝,全体,MF複勝5位以内,〜20倍,人気不問,65938,11258,80.3,77.4,82.7,0
複勝,全体,MF複勝5位以内,〜20倍,人気不問,65938,29332,81.5,80.7,82.4,0
単勝,全体,MF複勝5位以内,〜20倍,4番人気以下,25836,2092,80.8,72.9,90.9,0
複勝,全体,MF複勝5位以内,〜20倍,4番人気以下,25836,7662,78.2,75.9,81.7,0
単勝,全体,MF複勝5位以内,〜20倍,6番人気以下,7635,470,84.9,76.0,97.8,0
複勝,全体,MF複勝5位以内,〜20倍,6番人気以下,7635,1751,78.3,74.3,84.7,0
単勝,全体,MF複勝5位以内,〜20倍,3番人気以内,40102,9166,80.0,77.3,82.5,0
複勝,全体,MF複勝5位以内,〜20倍,3番人気以内,40102,21670,83.7,82.8,84.1,0
単勝,芝,MF複勝1位,〜5倍,人気不問,6124,1947,79.4,74.0,83.8,0
複勝,芝,MF複勝1位,〜5倍,人気不問,6124,3949,84.5,83.3,85.7,0
単勝,芝,MF複勝1位,〜5倍,3番人気以内,6112,1946,79.5,73.8,84.0,0
複勝,芝,MF複勝1位,〜5倍,3番人気以内,6112,3941,84.4,83.2,85.6,0
単勝,芝,MF複勝1位,5-10倍,人気不問,1226,144,72.5,57.8,91.3,0
複勝,芝,MF複勝1位,5-10倍,人気不問,1226,459,77.3,71.4,84.6,0
単勝,芝,MF複勝1位,5-10倍,4番人気以下,494,48,68.6,45.5,100.9,1
複勝,芝,MF複勝1位,5-10倍,4番人気以下,494,171,76.3,66.5,96.5,0
単勝,芝,MF複勝1位,5-10倍,3番人気以内,732,96,75.0,63.4,106.8,1
複勝,芝,MF複勝1位,5-10倍,3番人気以内,732,288,77.9,65.6,100.4,1
単勝,芝,MF複勝1位,10-20倍,人気不問,229,21,117.6,52.1,204.9,3
複勝,芝,MF複勝1位,10-20倍,人気不問,229,65,93.7,70.8,122.9,1
単勝,芝,MF複勝1位,10-20倍,4番人気以下,226,21,119.2,53.3,204.9,3
複勝,芝,MF複勝1位,10-20倍,4番人気以下,226,65,95.0,72.2,122.9,1
単勝,芝,MF複勝1位,〜10倍,人気不問,7350,2091,78.3,74.5,84.9,0
