種牡馬名,父_産駒数,父_勝率,父_連対率,父_複勝率,父_芝勝率,父_ダート勝率,父_短距離勝率,父_中距離勝率,父_長距離勝率,父_良馬場勝率,父_重馬場勝率,父_平均着順,種別,母父_産駒数,母父_勝率,母父_連対率,母父_複勝率,母父_芝勝率,母父_ダート勝率,母父_短距離勝率,母父_中距離勝率,母父_長距離勝率,母父_良馬場勝率,母父_重馬場勝率,母父_平均着順
モーニングラン,,,,,,,,,,,,,母父,5.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,7.2
モーニングリズ,,,,,,,,,,,,,母父,22.0,0.045454545454545456,0.09090909090909091,0.09090909090909091,0.0,0.2,,0.05555555555555555,0.0,0.08333333333333333,0.0,8.863636363636363
モーヴサファイア,,,,,,,,,,,,,母父,8.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,9.125
ヤエノグラフ,,,,,,,,,,,,,母父,10.0,0.0,0.1,0.1,0.0,,0.0,0.0,,0.0,,9.9
ヤギリヴィーナス,,,,,,,,,,,,,母父,6.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,,0.0,,0.0,,8.333333333333334
ヤサカオディール,,,,,,,,,,,,,母父,30.0,0.06666666666666667,0.13333333333333333,0.16666666666666666,0.08333333333333333,0.05555555555555555,0.08695652173913043,0.0,,0.041666666666666664,0.5,8.733333333333333
ヤサカシャイニー,,,,,,,,,,,,,母父,23.0,0.043478260869565216,0.043478260869565216,0.13043478260869565,0.0,0.05555555555555555,0.0,0.125,0.0,0.0,0.3333333333333333,9.173913043478262
ヤサカシーズン,,,,,,,,,,,,,母父,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,11.333333333333334
ヤサシイキモチ,,,,,,,,,,,,,母父,52.0,0.057692307692307696,0.17307692307692307,0.25,0.0,0.0625,0.05555555555555555,0.06451612903225806,0.0,0.0625,0.07692307692307693,6.0576923076923075
ヤマイチシキブ,,,,,,,,,,,,,母父,36.0,0.05555555555555555,0.1388888888888889,0.19444444444444445,0.0,0.0625,0.0,0.06666666666666667,0.0,0.0,0.4,6.916666666666667
