競馬場cd,_track,_距離帯,_脚質bin,コース脚質バイアス
4,0,3.0,1.0,0.37962962962962965
4,0,3.0,3.0,0.2543171114599686
7,1,8.0,2.0,0.2875
7,1,3.0,1.0,0.2934131736526946
7,1,3.0,2.0,0.3
7,1,3.0,3.0,0.1966824644549763
7,1,3.0,4.0,0.1652892561983471
1,0,6.0,4.0,0.2727272727272727
4,0,4.0,1.0,0.36548223350253806
4,0,3.0,2.0,0.32437275985663083
7,1,8.0,3.0,0.3333333333333333
7,1,8.0,4.0,0.265625
1,1,3.0,1.0,0.3118279569892473
1,1,3.0,4.0,0.19362186788154898
4,1,4.0,1.0,0.24423963133640553
4,1,5.0,1.0,0.2916666666666667
4,1,5.0,2.0,0.31724137931034485
7,1,6.0,1.0,0.18
7,1,6.0,2.0,0.3132530120481928
7,1,5.0,1.0,0.3404255319148936
1,0,4.0,1.0,0.13580246913580246
1,1,5.0,2.0,0.23699421965317918
1,1,5.0,3.0,0.2318840579710145
1,1,5.0,4.0,0.22811059907834103
1,0,2.0,1.0,0.3924050632911392
1,0,2.0,2.0,0.34782608695652173
1,0,2.0,3.0,0.25
1,0,2.0,4.0,0.255
1,0,4.0,2.0,0.271356783919598
1,0,4.0,3.0,0.28827361563517917
1,0,4.0,4.0,0.23858447488584475
1,1,3.0,2.0,0.3037974683544304
1,1,3.0,3.0,0.24863387978142076
1,1,4.0,1.0,0.2549019607843137
1,1,4.0,2.0,0.3235294117647059
1,1,4.0,3.0,0.2773892773892774
1,1,4.0,4.0,0.23773584905660378
1,1,6.0,2.0,0.26229508196721313
1,1,6.0,3.0,0.25196850393700787
1,1,6.0,4.0,0.296875
4,1,7.0,1.0,0.3958333333333333
4,1,7.0,2.0,0.25766871165644173
4,1,7.0,3.0,0.3392857142857143
4,1,7.0,4.0,0.2510729613733906
4,1,4.0,3.0,0.27004716981132076
4,0,4.0,2.0,0.3364485981308411
4,0,4.0,3.0,0.2848180677540778
4,1,6.0,2.0,0.2717391304347826
4,1,6.0,3.0,0.28823529411764703
4,1,6.0,4.0,0.25475285171102663
4,1,5.0,3.0,0.2878228782287823
4,1,5.0,4.0,0.24883720930232558
4,1,2.0,1.0,0.25
4,1,2.0,2.0,0.2017167381974249
4,1,2.0,4.0,0.16287878787878787
4,0,4.0,4.0,0.2245430809399478
4,1,4.0,2.0,0.28189300411522633
4,1,4.0,4.0,0.21648626144879268
4,0,3.0,4.0,0.19027181688125894
7,0,5.0,1.0,0.25555555555555554
7,0,5.0,2.0,0.2543859649122807
7,0,5.0,3.0,0.29411764705882354
7,0,5.0,4.0,0.23166666666666666
7,1,4.0,4.0,0.1985663082437276
7,1,6.0,3.0,0.3112391930835735
7,1,6.0,4.0,0.25101214574898784
7,0,4.0,1.0,0.30397236614853196
7,0,4.0,2.0,0.2952443857331572
7,0,4.0,3.0,0.25862068965517243
7,0,4.0,4.0,0.20547458229648063
7,1,5.0,2.0,0.2906178489702517
7,1,5.0,3.0,0.31636863823933975
7,1,5.0,4.0,0.2376237623762376
7,1,4.0,1.0,0.2601880877742947
7,1,4.0,2.0,0.27294117647058824
7,1,4.0,3.0,0.2653061224489796
7,0,3.0,1.0,0.35080645161290325
7,0,3.0,2.0,0.2767402376910017
7,0,3.0,3.0,0.22521246458923513
7,0,3.0,4.0,0.17280813214739518
