券種,レース条件,馬,オッズ,人気,点数,的中,ROI,CI下,最悪年,年100超
複勝,短距離-1400,MF複勝2位以内,1-20,人気1-3,8117,4626,84.2,82.5,81.5,0
複勝,長距離1900+,MF複勝3位以内,1-5,人気1-6,5466,3402,84.4,82.5,83.7,0
複勝,長距離1900+,MF複勝1位,3-10,人気1-3,1175,641,87.3,82.5,84.0,0
複勝,全体,MF複勝2位以内,1-20,人気1-6,27061,14977,83.5,82.5,82.2,0
複勝,堅いR(1人気=MF1位),MF複勝5位以内,1-10,人気1-3,21453,11971,83.6,82.5,82.8,0
複勝,堅いR(1人気=MF1位),MF複勝3位以内,1-10,人気1-6,19828,11101,83.6,82.5,81.7,0
複勝,全体,MF複勝5位以内,1-20,人気1-3,39762,21484,83.3,82.5,82.4,0
複勝,多頭数16+,MF複勝5位以内,1-5,人気不問,10423,5994,83.9,82.5,82.9,0
複勝,堅いR(1人気=MF1位),MF複勝3位以内,1-10,人気不問,19831,11101,83.6,82.4,81.7,0
複勝,多頭数16+,MF複勝3位以内,1-5,人気1-3,8974,5248,83.9,82.4,82.0,0
複勝,多頭数16+,MF複勝5位以内,1-5,人気1-3,10400,5979,83.9,82.4,82.8,0
複勝,短距離-1400,MF複勝2位以内,1-10,人気1-3,8091,4614,84.1,82.4,81.3,0
複勝,長距離1900+,MF複勝5位以内,1-5,人気1-3,6254,3829,84.2,82.4,83.2,0
複勝,多頭数16+,MF複勝3位以内,1-5,人気不問,8988,5256,83.9,82.4,82.0,0
複勝,多頭数16+,MF複勝3位以内,1-5,人気1-6,8988,5256,83.9,82.4,82.0,0
複勝,多頭数16+,MF複勝5位以内,1-5,人気1-6,10423,5994,83.9,82.4,82.9,0
複勝,芝,MF複勝2位以内,1-10,人気1-3,11837,6967,83.7,82.4,82.5,0
複勝,少頭数-12,MF複勝5位以内,1-10,人気1-6,15263,8444,83.7,82.4,81.4,0
複勝,少頭数-12,MF複勝5位以内,1-10,人気不問,15275,8449,83.7,82.4,81.3,0
複勝,長距離1900+,MF複勝5位以内,1-5,人気不問,6288,3844,84.1,82.4,83.5,0
複勝,ダート,MF複勝3位以内,1-10,人気1-6,17896,9588,83.5,82.3,82.7,0
複勝,ダート,MF複勝3位以内,3-10,人気1-3,10347,5168,84.0,82.3,83.1,0
複勝,長距離1900+,MF複勝5位以内,1-5,人気1-6,6288,3844,84.1,82.3,83.5,0
複勝,ダート,MF複勝3位以内,1-10,人気不問,17903,9592,83.5,82.3,82.8,0
複勝,芝,MF複勝2位以内,1-20,人気1-3,11867,6980,83.8,82.3,82.6,0
複勝,全体,MF複勝2位以内,1-20,人気不問,27456,15052,83.3,82.3,81.9,0
複勝,多頭数16+,MF複勝2位以内,1-5,人気不問,7258,4329,84.0,82.3,81.3,0
複勝,少頭数-12,MF複勝3位以内,1-20,人気不問,12206,6855,83.9,82.3,82.1,0
複勝,長距離1900+,MF複勝2位以内,1-20,人気1-6,6051,3461,84.3,82.3,82.8,0
複勝,全体,MF複勝5位以内,1-10,人気1-3,39202,21287,83.2,82.3,82.3,0
複勝,少頭数-12,MF複勝5位以内,5-15,人気1-3,3187,1467,86.1,82.3,79.5,0
複勝,長距離1900+,MF複勝2位以内,1-20,人気不問,6123,3477,84.2,82.2,82.3,0
複勝,多頭数16+,MF複勝2位以内,1-5,人気1-3,7253,4325,83.9,82.2,81.2,0
複勝,多頭数16+,MF複勝2位以内,1-5,人気1-6,7258,4329,84.0,82.2,81.3,0
複勝,長距離1900+,MF複勝2位以内,1-10,人気1-6,5815,3394,84.3,82.2,83.6,0
複勝,長距離1900+,MF複勝2位以内,1-10,人気不問,5818,3396,84.4,82.2,83.5,0
複勝,長距離1900+,MF複勝3位以内,1-20,人気1-3,7201,4138,83.8,82.1,82.3,0
複勝,多頭数16+,MF複勝1位,1-5,人気不問,4207,2615,84.0,82.1,81.5,0
複勝,少頭数-12,MF複勝2位以内,3-10,人気1-3,3716,2075,84.9,82.1,81.8,0
複勝,少頭数-12,MF複勝5位以内,3-10,人気1-3,7954,4201,84.1,82.1,80.9,0
複勝,多頭数16+,MF複勝1位,1-5,人気1-3,4204,2612,84.0,81.9,81.4,0
複勝,ダート,MF複勝2位以内,3-10,人気1-3,6898,3526,84.0,81.9,81.3,0
複勝,短距離-1400,MF複勝1位,1-10,人気1-3,4189,2535,84.1,81.9,78.5,0
複勝,短距離-1400,MF複勝1位,1-20,人気1-3,4190,2536,84.1,81.9,78.5,0
複勝,短距離-1400,MF複勝2位以内,1-20,人気1-6,9605,5117,83.5,81.9,81.2,0
複勝,短距離-1400,MF複勝2位以内,1-10,人気1-6,9084,4971,83.6,81.9,81.0,0
複勝,芝,MF複勝3位以内,10-20,人気1-3,130,50,110.1,81.9,96.2,4
複勝,短距離-1400,MF複勝2位以内,1-10,人気不問,9087,4972,83.6,81.9,81.0,0
複勝,道悪,MF複勝2位以内,1-5,人気1-6,2275,1403,84.7,81.9,81.5,0
複勝,短距離-1400,MF複勝3位以内,1-20,人気1-3,10983,5987,83.5,81.9,81.8,0
複勝,少頭数-12,MF複勝5位以内,5-30,人気1-3,3216,1473,85.7,81.9,78.7,0
複勝,長距離1900+,MF複勝3位以内,1-10,人気1-3,7154,4119,83.6,81.9,81.5,0
複勝,少頭数-12,MF複勝3位以内,5-15,人気1-3,1981,923,86.6,81.9,80.0,0
複勝,少頭数-12,MF複勝3位以内,3-10,人気1-3,5844,3150,84.1,81.9,80.9,0
複勝,長距離1900+,MF複勝5位以内,1-20,人気1-3,8982,4974,83.6,81.9,82.2,0
複勝,少頭数-12,MF複勝2位以内,5-15,人気1-3,970,475,88.2,81.9,78.3,1
複勝,道悪,MF複勝2位以内,1-5,人気不問,2275,1403,84.7,81.9,81.5,0
複勝,多頭数16+,MF複勝1位,1-5,人気1-6,4207,2615,84.0,81.9,81.5,0
複勝,堅いR(1人気=MF1位),MF複勝3位以内,1-20,人気1-6,22087,11712,83.0,81.8,81.5,0
複勝,ダート,MF複勝3位以内,1-20,人気1-6,19844,10115,83.1,81.8,82.5,0
複勝,堅いR(1人気=MF1位),MF複勝5位以内,1-10,人気不問,26736,13891,82.9,81.8,82.3,0
複勝,堅いR(1人気=MF1位),MF複勝5位以内,1-10,人気1-6,26726,13889,82.9,81.8,82.3,0
複勝,短距離-1400,MF複勝3位以内,1-10,人気1-3,10901,5957,83.3,81.8,81.5,0
複勝,芝,MF複勝1位,1-20,人気1-6,6659,4016,83.5,81.8,80.7,0
複勝,ダート,MF複勝3位以内,1-20,人気不問,20294,10208,82.9,81.7,82.6,0
複勝,ダート,MF複勝1位,3-10,人気1-3,2655,1401,85.0,81.7,80.9,0
複勝,多頭数16+,MF複勝2位以内,1-20,人気1-3,9381,5190,83.3,81.7,81.1,0
複勝,全体,MF複勝3位以内,1-10,人気1-6,36698,19585,82.6,81.7,81.8,0
複勝,芝,MF複勝1位,1-10,人気不問,6543,3983,83.5,81.7,80.7,0
複勝,芝,MF複勝2位以内,1-10,人気不問,13143,7438,83.0,81.7,81.3,0
複勝,少頭数-12,MF複勝2位以内,3-10,人気1-6,4384,2349,84.2,81.7,81.1,0
複勝,全体,MF複勝3位以内,1-10,人気不問,36713,19592,82.6,81.7,81.7,0
複勝,道悪,MF複勝2位以内,1-10,人気1-3,2807,1630,84.4,81.6,81.1,0
複勝,道悪,MF複勝2位以内,1-20,人気1-3,2815,1633,84.3,81.6,81.0,0
複勝,芝,MF複勝1位,1-10,人気1-6,6542,3982,83.4,81.6,80.7,0
複勝,道悪,MF複勝2位以内,1-5,人気1-3,2271,1399,84.6,81.6,81.5,0
複勝,少頭数-12,MF複勝2位以内,3-10,人気不問,4384,2349,84.2,81.6,81.1,0
複勝,芝,MF複勝1位,1-20,人気不問,6717,4028,83.5,81.6,80.6,0
複勝,多頭数16+,MF複勝2位以内,1-10,人気1-3,9337,5169,83.2,81.6,81.0,0
複勝,少頭数-12,MF複勝5位以内,1-20,人気1-6,18633,9409,83.0,81.6,82.4,0
複勝,堅いR(1人気=MF1位),MF複勝3位以内,1-20,人気不問,22466,11788,82.8,81.6,81.2,0
複勝,少頭数-12,MF複勝2位以内,5-30,人気1-3,974,476,87.9,81.6,77.8,1
複勝,長距離1900+,MF複勝5位以内,1-10,人気1-3,8872,4937,83.3,81.6,81.5,0
複勝,短距離-1400,MF複勝5位以内,1-20,人気1-3,14000,7319,82.9,81.5,81.6,0
複勝,ダート,MF複勝5位以内,3-10,人気1-3,13975,6736,83.1,81.5,81.8,0
複勝,芝,MF複勝5位以内,1-20,人気1-3,20337,10980,82.6,81.5,81.9,0
複勝,芝,MF複勝2位以内,1-10,人気1-6,13138,7435,83.0,81.5,81.3,0
複勝,少頭数-12,MF複勝5位以内,1-20,人気不問,19106,9511,82.8,81.4,82.0,0
複勝,少頭数-12,MF複勝3位以内,5-30,人気1-3,1999,926,86.2,81.4,79.4,0
複勝,短距離-1400,MF複勝2位以内,1-20,人気不問,9782,5147,83.2,81.4,80.4,0
複勝,短距離-1400,MF複勝1位,1-10,人気不問,4506,2647,83.6,81.4,77.9,0
複勝,短距離-1400,MF複勝5位以内,1-10,人気1-3,13824,7255,82.8,81.4,81.4,0
複勝,短距離-1400,MF複勝1位,1-10,人気1-6,4505,2646,83.5,81.3,77.9,0
複勝,短距離-1400,MF複勝1位,1-20,人気1-6,4608,2674,83.6,81.3,77.5,0
複勝,ダート,MF複勝5位以内,1-10,人気不問,24623,12316,82.4,81.3,81.4,0
複勝,芝,MF複勝3位以内,1-20,人気1-3,16181,9048,82.6,81.3,81.7,0
複勝,全体,MF複勝2位以内,3-10,人気1-3,14081,7127,82.7,81.3,80.8,0
複勝,全体,MF複勝5位以内,1-10,人気不問,50501,25305,82.0,81.3,81.6,0
複勝,堅いR(1人気=MF1位),MF複勝1位,3-10,人気1-3,1824,998,84.8,81.3,79.2,0
複勝,芝,MF複勝5位以内,1-10,人気1-3,20082,10890,82.3,81.3,81.6,0
複勝,芝,MF複勝2位以内,1-20,人気1-6,13760,7601,82.7,81.3,81.1,0
複勝,堅いR(1人気=MF1位),MF複勝1位,3-10,人気不問,1824,998,84.8,81.3,79.2,0
複勝,全体,MF複勝3位以内,1-20,人気1-6,40480,20600,82.2,81.3,81.5,0
複勝,多頭数16+,MF複勝3位以内,1-20,人気1-3,12644,6687,82.6,81.2,80.9,0
複勝,全体,MF複勝5位以内,1-10,人気1-6,50462,25289,82.0,81.2,81.6,0
複勝,ダート,MF複勝5位以内,1-10,人気1-6,24604,12307,82.4,81.2,81.4,0
複勝,多頭数16+,MF複勝1位,1-10,人気1-3,4815,2848,83.2,81.2,79.1,0
複勝,長距離1900+,MF複勝3位以内,1-10,人気不問,8321,4557,83.1,81.2,81.1,0
複勝,長距離1900+,MF複勝3位以内,1-10,人気1-6,8318,4555,83.1,81.2,81.1,0
複勝,多頭数16+,MF複勝1位,1-20,人気1-3,4821,2850,83.2,81.2,79.1,0
複勝,ダート,MF複勝2位以内,3-10,人気不問,8171,3986,83.1,81.2,81.5,0
