race_id,年,券種,組み合わせ,確率,推定オッズ,期待値,払戻
202508020603,2025,馬連,01-06,0.002192614995364833,1582.3144610576971,3.4694064146977306,0.0
202509030206,2025,馬連,01-04,0.008509774026284346,284.42351443020635,2.420379835562681,0.0
202510020207,2025,馬連,01-04,0.10341706027383661,21.52326136677823,2.225872418057643,0.0
202510020703,2025,馬単,06-17,0.016856448762566072,197.35255826483223,3.32666328655248,0.0
202310010708,2023,馬単,13-15,0.0025190644652839586,846.841510075614,2.133248355758887,0.0
202304040609,2023,馬連,01-05,0.008481363096656772,304.3742614087047,2.5815086282839492,0.0
202107010301,2021,馬単,10-13,0.021615810425654376,247.92533192327647,5.359106974570981,0.0
202109010501,2021,馬連,01-08,0.023845465519276896,101.93459647390502,2.4306779054399064,0.0
202207010512,2022,馬連,03-06,0.02335699498923751,262.38602302929695,6.128549025141247,0.0
202207050712,2022,馬単,04-14,0.0014162267376376517,2263.090364515837,3.205049083917468,0.0
202209050110,2022,馬単,06-13,0.03335963226052568,76.23692581804357,2.5432358099629093,0.0
202303020610,2023,馬連,12-16,0.012565219028758658,241.7438120065955,3.0375639467099296,0.0
202306040311,2023,馬単,04-01,0.01345829336753829,165.05805049395605,2.221399666221609,0.0
202306050411,2023,馬連,01-13,0.0011741588870730598,3252.9070228861806,3.819429689744178,0.0
202401020609,2024,馬単,13-06,0.25109531910346294,8.199694091048057,2.0589048043424913,1010.0
202404040512,2024,馬単,10-06,0.0232670265528685,99.56646049459337,2.3166154801028367,0.0
202510010803,2025,馬連,05-11,0.00867572638552676,335.27617199412225,2.9087643318078147,0.0
202503010508,2025,馬連,03-11,0.0008465853018879527,4488.71020116556,3.8000760807412783,0.0
202503030104,2025,馬連,04-08,0.0008219818569727649,2745.4841186660183,2.2567381341503285,0.0
202405050701,2024,馬単,16-14,0.004977323352487495,1020.320990726441,5.078467494175892,0.0
202406050602,2024,馬単,14-07,0.01433880799320906,166.89497819196978,2.393075047325468,0.0
202506020204,2025,馬単,12-14,0.045165087128902145,61.03917958612485,2.7568398642840344,0.0
202505020701,2025,馬連,04-11,0.04751598716890491,58.29839848117875,2.7701059541993946,0.0
202504020604,2025,馬単,08-02,0.08008052708121315,32.502720673497244,2.6028350031071024,0.0
202105020401,2021,馬単,03-14,0.09565177090066353,30.820804786730626,2.9480645584344316,0.0
202209020807,2022,馬単,10-05,0.04783937299854548,42.31392275266725,2.024271533596489,0.0
202209030312,2022,馬連,01-04,0.0005474524236276776,4787.7330605984225,2.6210560677069648,0.0
202207050808,2022,馬単,12-10,0.004309995132021,737.2939156502658,3.1777331873213472,0.0
202406050506,2024,馬単,14-03,0.024458896893543153,109.62115539573846,2.6812125371754387,0.0
202507010801,2025,馬連,03-13,0.0065181882472057934,310.18221404251716,2.021826062064207,0.0
202501010804,2025,馬連,05-06,0.0017134811411800145,1429.2160198067252,2.4489346966111856,0.0
202106010504,2021,馬単,16-15,0.014512958529675903,144.9776981770474,2.1040553213713586,0.0
202204040208,2022,馬単,07-14,0.004064698340139929,693.3228939559282,2.818148416243673,0.0
202406030107,2024,馬単,12-11,0.033244150076149406,69.69077758157694,2.316810668845492,0.0
202403020512,2024,馬連,08-15,0.11906906367488092,21.465619395202754,2.5558912025881555,0.0
