競馬場cd,_track,_距離帯,_脚質bin,日付,コース脚質バイアス
9,1,6.0,4.0,2022-03-27,0.28776978417266186
9,1,4.0,2.0,2022-03-27,0.3014705882352941
9,1,4.0,3.0,2022-03-27,0.27790973871733965
9,1,4.0,4.0,2022-03-27,0.22752808988764045
9,0,3.0,2.0,2022-03-27,0.2514450867052023
9,0,3.0,3.0,2022-03-27,0.21818181818181817
9,0,3.0,4.0,2022-03-27,0.1851145038167939
6,1,5.0,3.0,2022-04-02,0.23469387755102042
6,1,5.0,4.0,2022-04-02,0.2839506172839506
6,0,6.0,4.0,2022-04-02,0.32142857142857145
6,0,4.0,2.0,2022-04-02,0.23622047244094488
6,0,4.0,3.0,2022-04-02,0.2815126050420168
6,0,4.0,4.0,2022-04-02,0.2275132275132275
6,1,6.0,3.0,2022-04-02,0.34065934065934067
6,1,6.0,4.0,2022-04-02,0.2236842105263158
6,1,4.0,1.0,2022-04-02,0.25806451612903225
6,1,4.0,2.0,2022-04-02,0.30851063829787234
6,1,4.0,3.0,2022-04-02,0.352059925093633
6,1,4.0,4.0,2022-04-02,0.24552429667519182
6,0,3.0,1.0,2022-04-02,0.17777777777777778
6,0,3.0,3.0,2022-04-02,0.25190839694656486
6,0,3.0,4.0,2022-04-02,0.20903954802259886
9,0,3.0,1.0,2022-04-02,0.29015544041450775
9,1,4.0,1.0,2022-04-02,0.24066390041493776
9,1,4.0,2.0,2022-04-02,0.3029197080291971
9,1,4.0,3.0,2022-04-02,0.2765957446808511
9,1,4.0,4.0,2022-04-02,0.22841225626740946
9,0,3.0,2.0,2022-04-02,0.24857142857142858
9,0,3.0,3.0,2022-04-02,0.22098214285714285
9,0,3.0,4.0,2022-04-02,0.18490566037735848
9,1,8.0,3.0,2022-04-02,0.38235294117647056
9,1,8.0,4.0,2022-04-02,0.22
9,1,6.0,1.0,2022-04-02,0.19444444444444445
9,1,6.0,3.0,2022-04-02,0.3054187192118227
9,1,6.0,4.0,2022-04-02,0.2903225806451613
9,1,3.0,3.0,2022-04-02,0.2289156626506024
9,1,3.0,4.0,2022-04-02,0.2247191011235955
9,0,4.0,1.0,2022-04-02,0.2413793103448276
9,0,4.0,2.0,2022-04-02,0.3008423586040915
9,0,4.0,3.0,2022-04-02,0.26943396226415095
9,0,4.0,4.0,2022-04-02,0.21162280701754385
6,0,3.0,3.0,2022-04-03,0.2509505703422053
6,1,7.0,3.0,2022-04-03,0.2647058823529412
6,1,7.0,4.0,2022-04-03,0.25
6,1,6.0,4.0,2022-04-03,0.22077922077922077
6,0,4.0,3.0,2022-04-03,0.2791666666666667
6,0,4.0,2.0,2022-04-03,0.23255813953488372
6,0,4.0,4.0,2022-04-03,0.23097112860892388
6,1,4.0,2.0,2022-04-03,0.3020833333333333
6,1,4.0,3.0,2022-04-03,0.35185185185185186
6,1,4.0,4.0,2022-04-03,0.24556962025316456
6,1,5.0,3.0,2022-04-03,0.23232323232323232
6,1,5.0,4.0,2022-04-03,0.2822085889570552
6,0,3.0,2.0,2022-04-03,0.24444444444444444
6,0,3.0,4.0,2022-04-03,0.21008403361344538
9,0,5.0,2.0,2022-04-03,0.16842105263157894
9,0,5.0,3.0,2022-04-03,0.24427480916030533
9,0,5.0,4.0,2022-04-03,0.3
9,1,6.0,2.0,2022-04-03,0.32941176470588235
9,1,6.0,3.0,2022-04-03,0.2980769230769231
9,1,6.0,4.0,2022-04-03,0.28825622775800713
9,0,4.0,1.0,2022-04-03,0.23931623931623933
9,0,4.0,2.0,2022-04-03,0.3011904761904762
9,0,4.0,3.0,2022-04-03,0.2708333333333333
9,0,4.0,4.0,2022-04-03,0.210239651416122
9,1,4.0,1.0,2022-04-03,0.2396694214876033
9,1,4.0,2.0,2022-04-03,0.3007246376811594
9,1,4.0,3.0,2022-04-03,0.2775175644028103
9,1,4.0,4.0,2022-04-03,0.2281508739650414
9,1,5.0,1.0,2022-04-03,0.3389830508474576
9,1,5.0,2.0,2022-04-03,0.31451612903225806
9,1,5.0,3.0,2022-04-03,0.29535864978902954
9,1,5.0,4.0,2022-04-03,0.25
9,0,3.0,1.0,2022-04-03,0.28717948717948716
9,0,3.0,2.0,2022-04-03,0.2521246458923513
9,0,3.0,3.0,2022-04-03,0.2222222222222222
9,0,3.0,4.0,2022-04-03,0.18352059925093633
6,0,3.0,3.0,2022-04-09,0.2518796992481203
6,0,3.0,1.0,2022-04-09,0.17582417582417584
6,0,3.0,4.0,2022-04-09,0.20891364902506965
6,0,4.0,2.0,2022-04-09,0.22900763358778625
6,0,4.0,4.0,2022-04-09,0.2351421188630491
6,1,4.0,1.0,2022-04-09,0.25396825396825395
6,0,6.0,4.0,2022-04-09,0.3050847457627119
6,1,3.0,2.0,2022-04-09,0.25609756097560976
6,1,3.0,3.0,2022-04-09,0.3157894736842105
6,1,3.0,4.0,2022-04-09,0.20253164556962025
6,1,4.0,2.0,2022-04-09,0.3096446700507614
6,1,4.0,3.0,2022-04-09,0.3505535055350554
6,1,4.0,4.0,2022-04-09,0.2425
6,0,4.0,3.0,2022-04-09,0.2816326530612245
9,0,3.0,1.0,2022-04-09,0.2857142857142857
9,1,5.0,1.0,2022-04-09,0.3333333333333333
9,0,4.0,1.0,2022-04-09,0.23943661971830985
9,1,3.0,1.0,2022-04-09,0.25757575757575757
9,1,3.0,2.0,2022-04-09,0.22580645161290322
9,1,3.0,3.0,2022-04-09,0.2254335260115607
9,1,3.0,4.0,2022-04-09,0.2265193370165746
9,0,4.0,2.0,2022-04-09,0.30363423212192264
