母父名,母父_産駒数,母父_勝率,母父_連対率,母父_複勝率,母父_芝勝率,母父_ダート勝率,母父_短距離勝率,母父_中距離勝率,母父_長距離勝率,母父_良馬場勝率,母父_重馬場勝率,母父_平均着順
グリーンオリーヴ,13,0.07692307692307693,0.15384615384615385,0.3076923076923077,,0.07692307692307693,,0.1111111111111111,0.0,0.0,0.0,5.153846153846154
グリーンサンライズ,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,11.2
グルヴェイグ,6,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,,,0.16666666666666666,,0.2,0.0,7.333333333333333
グレイシアブルー,7,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.14285714285714285,,,0.0,0.3333333333333333,0.0,,4.714285714285714
グレイスティアラ,6,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,9.166666666666666
グレイスファミリー,6,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0,0.0,7.833333333333333
グレイスフルアート,13,0.0,0.3076923076923077,0.46153846153846156,,0.0,0.0,0.0,,0.0,0.0,4.6923076923076925
グレインライン,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,11.4
グレナディーン,8,0.0,0.25,0.25,0.0,0.0,,0.0,0.0,0.0,0.0,5.625
グレースグランド,10,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
グレートキャティ,11,0.18181818181818182,0.2727272727272727,0.45454545454545453,0.18181818181818182,,1.0,0.1,,0.2,0.0,4.818181818181818
グレートテン,8,0.125,0.375,0.625,0.125,,,0.125,,0.0,0.0,5.5
グレートハーベスト,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,7.4
グロッタアズーラ,6,0.16666666666666666,0.3333333333333333,0.3333333333333333,,0.16666666666666666,0.2,0.0,,0.2,0.0,6.833333333333333
グロリエッテ,19,0.10526315789473684,0.3157894736842105,0.42105263157894735,0.25,0.06666666666666667,0.18181818181818182,0.0,,0.16666666666666666,0.0,6.105263157894737
グローバルピース,10,0.1,0.3,0.4,0.0,0.1111111111111111,,0.0,0.14285714285714285,0.16666666666666666,0.0,5.7
グローブ,9,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,,0.0,0.0,9.0
グローリアスデイズ,10,0.3,0.3,0.3,0.25,0.3333333333333333,,0.2857142857142857,0.3333333333333333,0.375,0.0,6.6
グローリアスローズ,8,0.125,0.25,0.25,0.125,,,0.125,,0.16666666666666666,0.0,5.125
グローリサンディ,9,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.2,0.0,0.0,,0.2,0.25,0.0,7.111111111111111
グローリーブラッド,6,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,,0.0,,7.0
グーテデロワ,14,0.0,0.14285714285714285,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.642857142857142
ケイアイアテナ,14,0.07142857142857142,0.07142857142857142,0.2857142857142857,0.0,0.09090909090909091,0.1,0.0,0.0,0.1111111111111111,0.0,6.0
ケイアイエーデル,7,0.0,0.14285714285714285,0.14285714285714285,,0.0,0.0,,,0.0,0.0,11.857142857142858
ケイアイカミーリア,5,0.0,0.0,0.4,0.0,0.0,0.0,0.0,,0.0,0.0,10.0
ケイアイガーベラ,10,0.1,0.1,0.2,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.5,7.4
ケイアイデイジー,9,0.0,0.2222222222222222,0.3333333333333333,,0.0,0.0,0.0,,0.0,0.0,8.333333333333334
ケイアイベローナ,10,0.1,0.3,0.4,,0.1,0.0,0.125,,0.16666666666666666,0.0,5.8
ケイアイミサイル,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,11.714285714285714
ケイアイリブラ,6,0.16666666666666666,0.16666666666666666,0.16666666666666666,,0.16666666666666666,0.0,0.2,,0.25,0.0,8.0
ケイエスアカリ,10,0.1,0.2,0.2,0.0,0.25,0.14285714285714285,0.0,,0.14285714285714285,0.0,9.2
ケイエスシンアカリ,8,0.125,0.125,0.125,,0.125,,0.0,0.25,0.0,0.3333333333333333,9.125
ケイエスホノカ,14,0.0,0.0,0.35714285714285715,0.0,0.0,0.0,0.0,,0.0,0.0,7.5
ケイティクラシー,5,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,10.0
ケイティクロス,9,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.0,0.14285714285714285,0.5,0.0,,0.0,0.3333333333333333,6.111111111111111
ケイティマイヒメ,12,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.1,0.25,0.0,0.0,0.0,0.0,8.75
ケイティローレル,5,0.0,0.2,0.4,,0.0,,0.0,,0.0,0.0,8.4
ケイティーズギフト,13,0.15384615384615385,0.3076923076923077,0.6153846153846154,0.18181818181818182,0.0,0.0,0.25,,0.16666666666666666,0.0,4.384615384615385
ケイティーズジェム,9,0.0,0.1111111111111111,0.2222222222222222,0.0,0.0,0.0,0.0,,0.0,0.0,7.555555555555555
ケイティーズミスト,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,11.8
ケトルワンアップ,5,0.2,0.4,0.4,0.0,0.25,0.5,0.0,0.0,0.0,0.5,6.8
ケリーズビューティ,8,0.0,0.125,0.25,0.0,0.0,0.0,0.0,,0.0,,8.0
ケンアマツカゼ,5,0.0,0.2,0.4,0.0,,,0.0,,0.0,,6.0
ケンコウランハート,6,0.16666666666666666,0.16666666666666666,0.5,0.2,0.0,,0.0,0.3333333333333333,0.0,1.0,6.166666666666667
ケンチャメワン,5,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4
ケンホープ,11,0.0,0.09090909090909091,0.18181818181818182,0.0,0.0,0.0,0.0,,0.0,0.0,6.545454545454546
ケージーハッピー,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,12.166666666666666
ケージーメグミ,6,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,12.5
ケープジャスミン,7,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,,0.0,,5.571428571428571
ケープタウンシチー,11,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.363636363636363
ゲイリークィンビー,10,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,8.5
ゲイリーピクシー,9,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.125,0.0,0.3333333333333333,0.0,,0.16666666666666666,0.0,9.222222222222221
ゲットミー,6,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,7.166666666666667
コウエイオトメ,7,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,8.142857142857142
コウエイテンプウ,6,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,10.166666666666666
