レース条件,ボックス,人気,券種,R数,点数,的中,的中率,累計ROI,最悪年,100%超年数
芝,MF複勝3位以内,制限なし,3連複,7630,7630,483,6.3,69.9,59.8,0
ダート,MF複勝4位以内,全馬4番人気以下,ワイド,3429,4437,190,4.3,69.6,48.8,1
全体,MF複勝5位以内,全馬4番人気以下,馬単,14972,49940,264,0.5,69.6,44.2,1
多頭数16+,MF複勝4位以内,制限なし,3連複,6180,24720,772,3.1,69.2,51.9,0
全体,MF複勝5位以内,全馬4番人気以下,馬連,14972,24970,264,1.1,69.1,46.0,1
芝,MF複勝5位以内,全馬4番人気以下,馬連,7630,12521,141,1.1,68.1,28.9,1
芝,MF複勝5位以内,全馬4番人気以下,馬単,7630,25042,141,0.6,67.9,29.0,1
重賞級クラス5+,MF複勝5位以内,全馬4番人気以下,馬単,1307,5110,23,0.5,67.4,35.0,1
長距離2100+,MF複勝3位以内,全馬3番人気以内,3連複,1402,520,53,10.2,67.3,29.2,0
芝,MF複勝5位以内,全馬4番人気以下,ワイド,7630,12521,507,4.0,67.0,55.6,0
道悪,MF複勝3位以内,全馬3番人気以内,3連複,1549,534,53,9.9,66.9,24.5,1
多頭数16+,MF複勝4位以内,全馬4番人気以下,ワイド,3156,4133,147,3.6,65.7,42.5,1
芝,MF複勝3位以内,全馬4番人気以下,馬単,984,2160,15,0.7,63.3,20.9,1
長距離2100+,MF複勝3位以内,制限なし,3連複,1591,1591,101,6.3,63.1,48.4,0
芝,MF複勝3位以内,全馬4番人気以下,馬連,984,1080,15,1.4,63.1,19.5,1
重賞級クラス5+,MF複勝4位以内,全馬4番人気以下,ワイド,725,1011,39,3.9,62.8,36.4,0
少頭数-12,MF複勝5位以内,全馬4番人気以下,ワイド,4381,6453,287,4.4,62.4,44.2,0
全体,MF複勝4位以内,全馬4番人気以下,ワイド,6835,8702,359,4.1,62.3,44.1,0
多頭数16+,MF複勝2位以内,全馬4番人気以下,ワイド,206,206,6,2.9,61.9,0.0,1
芝,MF複勝4位以内,全馬4番人気以下,馬単,3406,8530,50,0.6,61.1,35.8,1
芝,MF複勝4位以内,全馬4番人気以下,馬連,3406,4265,50,1.2,60.9,37.2,1
少頭数-12,MF複勝5位以内,全馬4番人気以下,馬単,4381,12906,64,0.5,60.8,22.0,0
全体,MF複勝4位以内,全馬4番人気以下,馬単,6835,17404,103,0.6,60.5,33.4,1
全体,MF複勝4位以内,全馬4番人気以下,3連複,6835,974,5,0.5,60.0,0.0,1
ダート,MF複勝4位以内,全馬4番人気以下,馬単,3429,8874,53,0.6,60.0,30.7,1
全体,MF複勝3位以内,全馬4番人気以下,馬連,2059,2257,31,1.4,59.5,24.0,0
道悪,MF複勝5位以内,全馬4番人気以下,馬連,1804,3021,34,1.1,59.5,30.1,0
道悪,MF複勝5位以内,全馬4番人気以下,馬単,1804,6042,34,0.6,59.3,27.4,0
全体,MF複勝3位以内,全馬4番人気以下,馬単,2059,4514,31,0.7,59.3,25.8,0
重賞級クラス5+,MF複勝3位以内,全馬4番人気以下,ワイド,262,300,9,3.0,58.8,0.0,1
道悪,MF複勝3位以内,全馬4番人気以下,馬単,255,558,2,0.4,58.8,0.0,1
全体,MF複勝4位以内,全馬4番人気以下,馬連,6835,8702,103,1.2,58.7,36.5,1
少頭数-12,MF複勝5位以内,全馬4番人気以下,馬連,4381,6453,64,1.0,58.6,24.5,0
重賞級クラス5+,MF複勝3位以内,制限なし,3連複,1307,1307,50,3.8,58.1,30.2,0
長距離2100+,MF複勝4位以内,全馬4番人気以下,ワイド,659,797,32,4.0,57.9,33.3,0
長距離2100+,MF複勝3位以内,全馬4番人気以下,ワイド,189,201,9,4.5,57.2,0.0,1
長距離2100+,MF複勝4位以内,全馬4番人気以下,馬連,659,797,9,1.1,57.1,21.8,1
長距離2100+,MF複勝4位以内,全馬4番人気以下,馬単,659,1594,9,0.6,56.9,22.8,2
ダート,MF複勝4位以内,全馬4番人気以下,馬連,3429,4437,53,1.2,56.6,32.9,1
ダート,MF複勝3位以内,全馬4番人気以下,馬連,1075,1177,16,1.4,56.3,27.9,0
ダート,MF複勝3位以内,全馬4番人気以下,馬単,1075,2354,16,0.7,55.7,30.1,0
道悪,MF複勝3位以内,全馬4番人気以下,馬連,255,279,2,0.7,55.4,0.0,1
少頭数-12,MF複勝4位以内,全馬4番人気以下,ワイド,1692,1982,89,4.5,55.2,32.3,0
芝,MF複勝4位以内,全馬4番人気以下,ワイド,3406,4265,169,4.0,54.7,39.7,0
少頭数-12,MF複勝4位以内,全馬4番人気以下,馬連,1692,1982,21,1.1,52.9,6.5,1
少頭数-12,MF複勝4位以内,全馬4番人気以下,馬単,1692,3964,21,0.5,52.4,7.2,1
道悪,MF複勝3位以内,制限なし,3連複,1804,1804,95,5.3,52.0,24.9,0
重賞級クラス5+,MF複勝4位以内,全馬4番人気以下,馬単,725,2022,8,0.4,51.9,0.0,1
重賞級クラス5+,MF複勝4位以内,全馬4番人気以下,馬連,725,1011,8,0.8,51.7,0.0,1
芝,MF複勝3位以内,全馬4番人気以下,ワイド,984,1080,45,4.2,51.5,22.3,0
多頭数16+,MF複勝4位以内,全馬4番人気以下,馬単,3156,8266,39,0.5,48.1,28.5,1
長距離2100+,MF複勝3位以内,全馬4番人気以下,馬連,189,201,2,1.0,48.1,0.0,1
道悪,MF複勝3位以内,全馬4番人気以下,ワイド,255,279,9,3.2,46.9,0.0,0
長距離2100+,MF複勝5位以内,全馬4番人気以下,3連複,1591,514,2,0.4,46.7,0.0,1
多頭数16+,MF複勝4位以内,全馬4番人気以下,馬連,3156,4133,39,0.9,46.6,26.3,0
芝,MF複勝4位以内,全馬4番人気以下,3連複,3406,449,2,0.4,46.3,0.0,1
少頭数-12,MF複勝3位以内,全馬4番人気以下,ワイド,423,451,18,4.0,45.7,8.2,1
芝,MF複勝2位以内,全馬4番人気以下,馬単,184,368,2,0.5,45.5,0.0,2
少頭数-12,MF複勝5位以内,全馬4番人気以下,3連複,4381,1115,4,0.4,45.1,0.0,1
長距離2100+,MF複勝3位以内,全馬4番人気以下,馬単,189,402,2,0.5,45.0,0.0,1
ダート,MF複勝5位以内,全馬4番人気以下,3連複,7342,2878,6,0.2,41.4,6.7,0
