母父名,母父_産駒数,母父_勝率,母父_連対率,母父_複勝率,母父_芝勝率,母父_ダート勝率,母父_短距離勝率,母父_中距離勝率,母父_長距離勝率,母父_良馬場勝率,母父_重馬場勝率,母父_平均着順
ナムラセレナーデ,7,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,,0.0,0.0,8.857142857142858
ナムラダンサー,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,12.4
ナムラチアーズ,35,0.14285714285714285,0.17142857142857143,0.2,0.0,0.18518518518518517,0.0,0.17857142857142858,0.0,0.21052631578947367,0.0,7.714285714285714
ナムラテンニョ,7,0.14285714285714285,0.14285714285714285,0.14285714285714285,,0.14285714285714285,0.14285714285714285,,,0.0,0.0,9.142857142857142
ナムラドロシー,10,0.1,0.2,0.3,,0.1,0.125,0.0,,0.14285714285714285,0.0,7.6
ナムラナデシコ,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.857142857142857
ナムラネネ,39,0.05128205128205128,0.07692307692307693,0.1794871794871795,0.0,0.05555555555555555,0.06060606060606061,0.0,,0.07692307692307693,0.0,7.102564102564102
ナムラバイオレット,22,0.13636363636363635,0.3181818181818182,0.4090909090909091,0.0,0.1875,0.13636363636363635,,,0.125,0.5,4.363636363636363
ナムラヒラリー,34,0.14705882352941177,0.17647058823529413,0.35294117647058826,0.0,0.16129032258064516,0.14705882352941177,,,0.16666666666666666,0.25,5.9411764705882355
ナムラビーム,15,0.0,0.06666666666666667,0.13333333333333333,0.0,0.0,0.0,0.0,,0.0,0.0,10.0
ナムラボルテージ,12,0.08333333333333333,0.08333333333333333,0.25,0.3333333333333333,0.0,,0.08333333333333333,,0.125,0.0,6.083333333333333
ナムラマミー,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,11.857142857142858
ナムラミステリー,37,0.02702702702702703,0.08108108108108109,0.08108108108108109,0.0,0.029411764705882353,0.0,0.0625,0.0,0.03571428571428571,0.0,8.594594594594595
ナムラミーティア,32,0.03125,0.09375,0.15625,0.05263157894736842,0.0,0.0,0.1,,0.04,,8.8125
ナムラムラサキ,5,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,8.6
ナムラメロディー,18,0.0,0.05555555555555555,0.16666666666666666,0.0,0.0,,0.0,0.0,0.0,0.0,8.222222222222221
ナムラモヨ,5,0.2,0.4,0.4,0.2,,0.2,,,0.2,,3.6
ナムラユメ,7,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,12.0
ナムラライラ,26,0.07692307692307693,0.11538461538461539,0.23076923076923078,0.08695652173913043,0.0,,0.1,0.0,0.09523809523809523,0.0,6.0
ナムララピス,44,0.022727272727272728,0.045454545454545456,0.06818181818181818,0.0,0.023255813953488372,0.0,0.02857142857142857,,0.0,0.0,7.590909090909091
ナムラルンタ,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.666666666666666
ナリタアルテミス,13,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,,0.0,0.0,8.076923076923077
ナリタカサブランカ,57,0.07017543859649122,0.10526315789473684,0.19298245614035087,0.06976744186046512,0.07142857142857142,0.0,0.17391304347826086,0.0,0.1,0.0,7.4035087719298245
ナリタシリカ,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,10.090909090909092
ナリタシルエット,18,0.1111111111111111,0.16666666666666666,0.2777777777777778,0.14285714285714285,0.0,0.0,0.125,0.0,0.16666666666666666,0.0,7.277777777777778
ナリタシークレット,39,0.05128205128205128,0.15384615384615385,0.28205128205128205,0.07692307692307693,0.0,0.08333333333333333,0.0,,0.041666666666666664,0.0,8.076923076923077
ナリタジューン,27,0.07407407407407407,0.1111111111111111,0.18518518518518517,0.0,0.07692307692307693,0.08,0.0,,0.0625,0.0,8.962962962962964
ナリタスカイ,18,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.722222222222221
ナリタトップスター,8,0.0,0.0,0.125,0.0,0.0,0.0,,,0.0,,8.75
ナリタフローラ,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.625
ナリタブルースター,75,0.05333333333333334,0.16,0.22666666666666666,0.0,0.06896551724137931,0.0625,0.02631578947368421,0.2,0.02127659574468085,0.14285714285714285,7.04
